"ID","Taxon","Observer","Source","Date","County","Location Quality","Latitude","Longitude","Location Description","Accuracy: Square Meters","Plant","Phenology","Phenology Code"
"bur4732","Amsinckia intermedia","Geoff Burleigh","","1980-03-01","Los Angeles","low","34.061076","-118.878242","Charmlee Park","","Amsinckia intermedia","",""
"bur4733","Amsinckia intermedia","Geoff Burleigh","","1982-04-01","Los Angeles","low","34.06892","-118.68511","Mulh Hwy W/o Cornell","","Amsinckia intermedia","",""
"cbo12096","Amsinckia intermedia","David popp","","2013-03-29","Sacramento","high","38.631983","-121.234868","","","Amsinckia intermedia","Flowering","F"
"cbo14210","Amsinckia intermedia","David popp","","2013-04-10","Sacramento","high","38.641852","-121.199013","","","Amsinckia intermedia","Flowering","F"
"cbo14360","Amsinckia intermedia","David popp","","2013-04-11","Sacramento","high","38.682451","-121.181963","","","Amsinckia intermedia","Flowering","F"
"cbo15795","Amsinckia intermedia","David popp","","2013-04-23","Sacramento","high","38.658977","-121.186325","","","Amsinckia intermedia","Flowering","F"
"cbo15908","Amsinckia intermedia","David popp","","2013-04-27","Sacramento","high","38.526813","-121.088405","","","Amsinckia intermedia","Flowering","F"
"cbo16563","Amsinckia intermedia","David popp","","2013-05-17","Sacramento","high","38.64583","-121.212919","","","Amsinckia intermedia","Fruiting","R"
"cbo22284","Amsinckia intermedia","Bill Thiessen","","2014-05-19","Fresno","high","36.769118","-119.255832","roadside","","Amsinckia intermedia","",""
"cbo26378","Amsinckia intermedia","David Ogden","Walnut Creek Open Space Foundation","2014-04-29","Contra Costa","high","37.872705","-122.039591","","","Amsinckia intermedia","",""
"cbo27143","Amsinckia intermedia","Jesse Rorabaugh","","2015-02-21","Orange","high","33.799417","-117.754407","","","Amsinckia intermedia","",""
"cbo27169","Amsinckia intermedia","Jesse Rorabaugh","","2015-02-21","Orange","high","33.806443","-117.757939","","","Amsinckia intermedia","",""
"cbo27171","Amsinckia intermedia","Jesse Rorabaugh","","2015-02-21","Orange","high","33.807143","-117.757896","","","Amsinckia intermedia","",""
"cbo46459","Amsinckia intermedia","Keir Morse","","2016-02-20","Inyo","high","35.960741","-116.870921","","","Amsinckia intermedia","",""
"cbo47205","Amsinckia intermedia","Keir Morse","","2016-03-12","San Diego","high","33.285391","-117.238788","","","Amsinckia intermedia","",""
"cbo47528","Amsinckia intermedia","Keir Morse","","2016-03-13","San Diego","high","32.991083","-116.735868","","","Amsinckia intermedia","",""
"cbo48147","Amsinckia intermedia","Keir Morse","","2016-03-26","San Diego","high","33.413209","-117.241156","","","Amsinckia intermedia","",""
"cbo48367","Amsinckia intermedia","Keir Morse","","2016-03-27","Riverside","high","33.540452","-117.265188","","","Amsinckia intermedia","",""
"cbo49518","Amsinckia intermedia","Keir Morse","","2016-04-11","San Diego","high","33.35638","-117.246807","","","Amsinckia intermedia","",""
"cbo49973","Amsinckia intermedia","Keir Morse","","2016-04-17","San Diego","high","33.051179","-117.076591","","","Amsinckia intermedia","",""
"cbo50236","Amsinckia intermedia","Keir Morse","","2016-04-17","San Diego","high","33.069818","-117.087573","","","Amsinckia intermedia","",""
"cbo50662","Amsinckia intermedia","Keir Morse","","2016-04-23","San Diego","high","33.207227","-116.479094","","","Amsinckia intermedia","",""
"cbo50745","Amsinckia intermedia","Keir Morse","","2016-04-23","San Diego","high","33.194644","-116.476676","","","Amsinckia intermedia","",""
"cbo51866","Amsinckia intermedia","Keir Morse","","2016-05-29","San Diego","high","33.198887","-116.454131","","","Amsinckia intermedia","",""
"cbo61571","Amsinckia intermedia","Victoria masjuan","","2017-01-27","Orange","high","33.621972","-117.888832","","","Amsinckia intermedia","",""
"cbo63107","Amsinckia intermedia","Keir Morse","","2017-02-14","San Diego","high","33.285621","-117.234177","","","Amsinckia intermedia","",""
"cbo63225","Amsinckia intermedia","Keir Morse","","2017-02-15","San Diego","high","32.754494","-117.250247","","","Amsinckia intermedia","",""
"cbo64691","Amsinckia intermedia","Keir Morse","","2017-03-10","San Diego","high","33.40903","-117.235765","","","Amsinckia intermedia","",""
"cbo65945","Amsinckia intermedia","Keir Morse","","2017-03-17","San Diego","high","32.980956","-117.239082","","","Amsinckia intermedia","",""
"cbo66092","Amsinckia intermedia","Keir Morse","","2017-03-19","San Diego","high","32.932701","-117.247367","","","Amsinckia intermedia","",""
"cbo67590","Amsinckia intermedia","Keir Morse","","2017-04-01","Riverside","high","33.807178","-117.357995","","","Amsinckia intermedia","",""
"cbo68052","Amsinckia intermedia","Keir Morse","","2017-04-08","San Diego","high","32.747418","-116.454663","","","Amsinckia intermedia","",""
"cbo70822","Amsinckia intermedia","Keir Morse","","2017-04-29","San Diego","high","33.113244","-116.602239","","","Amsinckia intermedia","",""
"cbo70847","Amsinckia intermedia","Keir Morse","","2017-04-29","San Diego","high","33.113388","-116.603254","","","Amsinckia intermedia","",""
"cbo72259","Amsinckia intermedia","Keir Morse","","2017-05-06","Santa Barbara","high","34.684806","-120.429458","","","Amsinckia intermedia","",""
"cbo74984","Amsinckia intermedia","Angelique Herman ","","2017-06-12","Madera","high","36.946247","-119.994678","","","Amsinckia intermedia","",""
"cbo82907","Amsinckia intermedia","Angelique Herman ","","2018-03-09","Madera","high","36.938116","-120.018004","","","Amsinckia intermedia","",""
"cbo83072","Amsinckia intermedia","Keir Morse","","2018-03-12","San Bernardino","high","34.121787","-117.154363","","","Amsinckia intermedia","",""
"cbo83255","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.056247","-119.739931","","","Amsinckia intermedia","",""
"cbo83264","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.055259","-119.740897","","","Amsinckia intermedia","",""
"cbo83271","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.054159","-119.742012","","","Amsinckia intermedia","",""
"cbo83274","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.053874","-119.742283","","","Amsinckia intermedia","",""
"cbo83276","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.052632","-119.743897","","","Amsinckia intermedia","",""
"cbo83280","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.05231","-119.744473","","","Amsinckia intermedia","",""
"cbo83283","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.052115","-119.745348","","","Amsinckia intermedia","",""
"cbo83287","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.052156","-119.746572","","","Amsinckia intermedia","",""
"cbo83294","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.051593","-119.74735","","","Amsinckia intermedia","",""
"cbo83295","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.051438","-119.747461","","","Amsinckia intermedia","",""
"cbo83296","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.051362","-119.747524","","","Amsinckia intermedia","",""
"cbo83297","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.051296","-119.747611","","","Amsinckia intermedia","",""
"cbo83301","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.051115","-119.747848","","","Amsinckia intermedia","",""
"cbo83304","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.050412","-119.748597","","","Amsinckia intermedia","",""
"cbo83322","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.048469","-119.7524","","","Amsinckia intermedia","",""
"cbo83328","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.047948","-119.753209","","","Amsinckia intermedia","",""
"cbo83330","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.047901","-119.753266","","","Amsinckia intermedia","",""
"cbo83331","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.047813","-119.753366","","","Amsinckia intermedia","",""
"cbo83332","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.047778","-119.753412","","","Amsinckia intermedia","",""
"cbo83335","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.047182","-119.75409","","","Amsinckia intermedia","",""
"cbo83338","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.045325","-119.756403","","","Amsinckia intermedia","",""
"cbo83350","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.044059","-119.758108","","","Amsinckia intermedia","",""
"cbo83351","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.043918","-119.758431","","","Amsinckia intermedia","",""
"cbo83352","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.043864","-119.758614","","","Amsinckia intermedia","",""
"cbo83353","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.043708","-119.75897","","","Amsinckia intermedia","",""
"cbo83354","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.043622","-119.759135","","","Amsinckia intermedia","",""
"cbo83355","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.043561","-119.759222","","","Amsinckia intermedia","",""
"cbo83381","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.042073","-119.763283","","","Amsinckia intermedia","",""
"cbo83384","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.041957","-119.764231","","","Amsinckia intermedia","",""
"cbo83388","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.041939","-119.764641","","","Amsinckia intermedia","",""
"cbo83399","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.042018","-119.766746","","","Amsinckia intermedia","",""
"cbo83410","Amsinckia intermedia","Angelique Herman ","","2018-03-11","Madera","high","37.041337","-119.771795","","","Amsinckia intermedia","",""
"cbo83430","Amsinckia intermedia","Angelique Herman ","","2018-03-15","Fresno","high","36.885571","-119.777845","","","Amsinckia intermedia","",""
"cbo83434","Amsinckia intermedia","Angelique Herman ","","2018-03-15","Fresno","high","36.885524","-119.778261","","","Amsinckia intermedia","",""
"cbo83442","Amsinckia intermedia","Angelique Herman ","","2018-03-15","Fresno","high","36.885036","-119.778845","","","Amsinckia intermedia","",""
"cbo83527","Amsinckia intermedia","Keir Morse","","2018-03-18","Riverside","high","33.781794","-116.526576","","","Amsinckia intermedia","",""
"cbo83675","Amsinckia intermedia","Angelique Herman ","","2018-03-21","Fresno","high","36.749625","-119.812919","","","Amsinckia intermedia","",""
"cbo83699","Amsinckia intermedia","Angelique Herman ","","2018-03-21","Fresno","high","36.678168","-119.754736","","","Amsinckia intermedia","",""
"cbo83715","Amsinckia intermedia","Angelique Herman ","","2018-03-22","Fresno","high","36.560131","-119.785918","","","Amsinckia intermedia","",""
"cbo83721","Amsinckia intermedia","Angelique Herman ","","2018-03-22","Fresno","high","36.574668","-119.785982","","","Amsinckia intermedia","",""
"cbo83726","Amsinckia intermedia","Angelique Herman ","","2018-03-22","Fresno","high","36.575994","-119.786127","","","Amsinckia intermedia","",""
"cbo83732","Amsinckia intermedia","Angelique Herman ","","2018-03-22","Fresno","high","36.563082","-119.786119","","","Amsinckia intermedia","",""
"cbo83745","Amsinckia intermedia","Angelique Herman ","","2018-03-22","Fresno","high","36.563071","-119.78608","","","Amsinckia intermedia","",""
"cbo83753","Amsinckia intermedia","Angelique Herman ","","2018-03-22","Fresno","high","36.567904","-119.785911","","","Amsinckia intermedia","",""
