"","id","taxon","observer","source","date","county","location_quality","latitude","longitude","location_description","accuracy_square_meters","plant","phenology","phenology_code"
"1","gp10283","Amsinckia intermedia","Richard Spjut",NA,2010-03-30,"Kern","medium",34.905462,-119.377264,"Southern Joaquin Valley foothills: Bitter Creek National Wildlife Refuge",31416,"Amsinckia intermedia",NA,NA
"2","gp10522","Amsinckia intermedia","Richard Spjut",NA,2003-04-10,"Kern","medium",35.222468,-118.565962,"Tehachapi Mountains: Vicinity of Keene, south of Hwy 58 and east of community along the Old Tehachapi Loop Road",31416,"Amsinckia intermedia",NA,NA
"3","gp11025","Amsinckia intermedia","Ron Vanderhoff",NA,2019-02-03,"Orange","high",33.55163,-117.6205,"Chiquita Ridge, Ladera Ranch",100,"Amsinckia intermedia","Vegetative","V"
"4","gp13350","Amsinckia intermedia","Ron Vanderhoff",NA,2019-03-24,"Orange","high",33.54117,-117.55164,"Caspers Park.",100,"Amsinckia intermedia","Flowering","F"
"5","gp20474","Amsinckia intermedia","Ron Vanderhoff",NA,2020-02-16,"Orange","high",33.66028,-117.94163,"Fairview Park, Costa Mesa",100,"Amsinckia intermedia","Flowering","F"
"6","gp20704","Amsinckia intermedia","Ron Vanderhoff",NA,2020-03-07,"Orange","high",33.65495,-117.819,"Sand Canyon Wash, W of Ridgeline Dr., Irvine",100,"Amsinckia intermedia","Flowering","F"
"7","in:10021494","Amsinckia intermedia","Don Rideout","iNaturalist",2018-02-25,"San Diego","high",33.36729,-116.4446,"Anza-Borrego Desert State Park",113,"Amsinckia intermedia",NA,NA
"8","in:10149619","Amsinckia intermedia","jenniferlchandler","iNaturalist",2018-03-08,"Napa","medium",38.368217,-122.256888,"2372 Atlas Peak Rd, Napa, CA, US",7853,"Amsinckia intermedia",NA,NA
"9","in:10254113","Amsinckia intermedia","twr61","iNaturalist",2018-03-10,"Butte","high",39.726237,-121.781072,"Chico, CA, USA",314,"Amsinckia intermedia",NA,NA
"10","in:10266686","Amsinckia intermedia","dtadelhelm","iNaturalist",2018-03-16,"San Diego","high",33.278284,-116.429626,"Anza-Borrego Desert State Park, Borrego Springs, CA, US",804,"Amsinckia intermedia",NA,NA
"11","in:10474539","Amsinckia intermedia","jaygz","iNaturalist",2018-03-21,"Riverside","high",33.807183,-117.357599,"Harford Springs Reserve, Riverside County, US-CA, US",153,"Amsinckia intermedia",NA,NA
"12","in:10474582","Amsinckia intermedia","jaygz","iNaturalist",2018-03-21,"Riverside","high",33.806163,-117.349424,"Harford Springs Reserve, Riverside County, US-CA, US",113,"Amsinckia intermedia",NA,NA
"13","in:10547689","Amsinckia intermedia","arnel","iNaturalist",2018-03-11,"Santa Clara","medium",37.430211,-122.072568,"Shoreline Park, Mountain View, CA",8494,"Amsinckia intermedia",NA,NA
"14","in:10694024","Amsinckia intermedia","kevinhintsa","iNaturalist",2018-04-05,"Contra Costa","high",37.954,-122.135267,"Briones Regional Park , California",2123,"Amsinckia intermedia",NA,NA
"15","in:11195597","Amsinckia intermedia","Gena Bentall","iNaturalist",2018-04-19,"Monterey","high",36.756692,-121.506097,"Salinas, CA 93908, Salinas, CA, US",78,"Amsinckia intermedia",NA,NA
"16","in:1347880","Amsinckia intermedia","Carlos Flores","iNaturalist",2015-03-25,"Riverside","high",33.96992,-117.486795,"6417",78,"Amsinckia intermedia",NA,NA
"17","in:2794647","Amsinckia intermedia","Chris Evers","iNaturalist",2016-03-17,"Fresno","high",36.09066,-120.117535,"I-5 S, Huron, CA, US",78,"Amsinckia intermedia",NA,NA
"18","in:4972603","Amsinckia intermedia","James Bailey","iNaturalist",2017-01-19,"Orange","high",33.553678,-117.665995,"Saddleback College, Mission Viejo, CA, US",78,"Amsinckia intermedia",NA,NA
"19","in:5218020","Amsinckia intermedia","Jen Palladini","iNaturalist",2017-02-27,"Sonoma","high",38.356453,-122.513686,"95442, Glen Ellen, CA, US",314,"Amsinckia intermedia",NA,NA
"20","in:5439877","Amsinckia intermedia","Matthew Salkiewicz","iNaturalist",2017-02-25,"San Diego","high",32.83685,-117.10951,"Villa Montserrat Park, San Diego, California",2290,"Amsinckia intermedia",NA,NA
