"","id","taxon","observer","source","date","county","location_quality","latitude","longitude","location_description","accuracy_square_meters","plant","phenology","phenology_code"
"1","cbo68519","Amsinckia menziesii","Marie Reil",NA,2017-04-14,"Alameda","high",37.522756,-121.893132,"Mission Peak Regional Preserve - Peak Trail",28,"Amsinckia menziesii",NA,NA
"2","cbo68882","Amsinckia menziesii","Marie Reil",NA,2017-04-20,"Alameda","high",37.517464,-121.889074,"Mission Peak Regional Preserve - Peak Trail",3,"Amsinckia menziesii",NA,NA
"3","cbo70678","Amsinckia menziesii","Marie Reil",NA,2017-04-29,"Alameda","high",37.514322,-121.88343,"Mission Peak Regional Preserve - Peak Trail",3,"Amsinckia menziesii",NA,NA
"4","gp6381","Amsinckia menziesii","Alison Sheehey",NA,2017-04-01,"Kern","high",35.305038,-119.246345,NA,79,"Amsinckia menziesii",NA,NA
"5","in:10351226","Amsinckia menziesii","twr61","iNaturalist",2018-03-18,"Butte","high",39.80297,-121.727155,"Butte, California",314,"Amsinckia menziesii",NA,NA
"6","in:103844949","Amsinckia menziesii","aarenas","iNaturalist",2021-12-28,"Orange","high",33.629922,-117.880495,"Big Canyon Nature Park, Newport Beach, CA",13273,"Amsinckia menziesii",NA,NA
"7","in:10445316","Amsinckia menziesii","tkpham","iNaturalist",2018-03-25,"Merced","high",37.086372,-121.17025,"San Luis Reservoir State Recreation Area, Los Banos, CA, US",78,"Amsinckia menziesii",NA,NA
"8","in:10456782","Amsinckia menziesii","jriddell","iNaturalist",2018-03-27,"Tehama","high",40.110175,-122.032508,NA,254,"Amsinckia menziesii",NA,NA
"9","in:104881838","Amsinckia menziesii","aarenas","iNaturalist",2022-01-13,"Orange","high",33.631322,-117.881767,"Big Canyon Nature Park, Newport Beach, CA",2827,"Amsinckia menziesii",NA,NA
"10","in:105977474","Amsinckia menziesii","neacer","iNaturalist",2022-02-01,"Orange","high",33.57734,-117.76282,"Laguna Coast Wilderness Park, Laguna Beach, CA",50,"Amsinckia menziesii",NA,NA
"11","in:10606351","Amsinckia menziesii","rozhelfand /<br> Rosalind Helfand","iNaturalist",2018-03-31,"Tulare","high",36.438933,-118.905555,"Three Rivers",12,"Amsinckia menziesii",NA,NA
"12","in:106070386","Amsinckia menziesii","aparrot1","iNaturalist",2022-01-31,"Monterey","high",36.597795,-121.669633,"Toro County Park, Salinas, CA",28,"Amsinckia menziesii",NA,NA
"13","in:106567330","Amsinckia menziesii","rappman","iNaturalist",2022-02-11,"Santa Clara","high",37.229938,-121.91867,"Belgatos Park, Los Gatos, CA",50,"Amsinckia menziesii",NA,NA
"14","in:106629620","Amsinckia menziesii","aarenas","iNaturalist",2022-02-12,"Orange","medium",33.629913,-117.879913,"Big Canyon Nature Park, Newport Beach, CA",37325,"Amsinckia menziesii",NA,NA
"15","in:10665184","Amsinckia menziesii","Millie Basden","iNaturalist",2018-04-06,"San Diego","high",32.839111,-117.044019,"San Diego, CA, USA",113,"Amsinckia menziesii",NA,NA
"16","in:107042048","Amsinckia menziesii","aparrot1","iNaturalist",2022-02-17,"Monterey","high",36.597755,-121.669625,"Toro County Park, Salinas, CA",50,"Amsinckia menziesii",NA,NA
"17","in:107280200","Amsinckia menziesii","chris_gort","iNaturalist",2022-02-22,"Orange","high",33.574127,-117.761349,"Laguna Canyon Rd, Laguna Beach, CA",78,"Amsinckia menziesii",NA,NA
"18","in:107525045","Amsinckia menziesii","accidentalstars","iNaturalist",2022-02-26,"Orange","high",33.6857,-117.659667,"Whiting Ranch Wilderness Park, Lake Forest, CA",50,"Amsinckia menziesii",NA,NA
"19","in:107603952","Amsinckia menziesii","aarenas","iNaturalist",2022-02-27,"Orange","high",33.592617,-117.782608,"Crystal Cove State Park, Laguna Beach, CA",78,"Amsinckia menziesii",NA,NA
"20","in:107604242","Amsinckia menziesii","aarenas","iNaturalist",2022-02-27,"Orange","high",33.590255,-117.775987,"Laguna Coast Wilderness Park, Laguna Beach, CA",314,"Amsinckia menziesii",NA,NA
"21","in:107785767","Amsinckia menziesii","rappman","iNaturalist",2022-03-02,"Santa Clara","high",37.188442,-121.801505,"Calero County Park, San Jose, CA",50,"Amsinckia menziesii",NA,NA
"22","in:107844604","Amsinckia menziesii","brooks77","iNaturalist",2022-03-03,"Orange","high",33.683757,-117.61938,"Live Oak Canyon Rd, Silverado, CA",1385,"Amsinckia menziesii",NA,NA
"23","in:108530553","Amsinckia menziesii","dyecreekscott","iNaturalist",2022-03-13,"Tehama","medium",40.104779,-122.053246,NA,20611,"Amsinckia menziesii",NA,NA
"24","in:108531547","Amsinckia menziesii","ronvanderhoff","iNaturalist",2022-03-13,"Orange","high",33.495382,-117.639327,"San Juan Capistrano, CA",2123,"Amsinckia menziesii",NA,NA
"25","in:108746166","Amsinckia menziesii","teenuh","iNaturalist",2022-03-16,"Orange","high",33.685727,-117.659635,"Whiting Ranch Wilderness Park, Lake Forest, CA",50,"Amsinckia menziesii",NA,NA
"26","in:108746285","Amsinckia menziesii","madisonhelms17","iNaturalist",2022-03-16,"Orange","high",33.685578,-117.659438,"Whiting Ranch Wilderness Park, Lake Forest, CA",6939,"Amsinckia menziesii",NA,NA
"27","in:108746565","Amsinckia menziesii","glommergoop","iNaturalist",2022-03-16,"Orange","high",33.685733,-117.659618,"Whiting Ranch Wilderness Park, Lake Forest, CA",50,"Amsinckia menziesii",NA,NA
"28","in:109052759","Amsinckia menziesii","evalyd","iNaturalist",2022-03-20,"Orange","high",33.547846,-117.561499,"Ronald W. Caspers Wilderness Park, Trabuco Canyon, CA",50,"Amsinckia menziesii",NA,NA
"29","in:109055858","Amsinckia menziesii","elorathewitch","iNaturalist",2022-03-20,"Orange","high",33.541722,-117.555019,"Ronald W. Caspers Wilderness Park, Trabuco Canyon, CA",113,"Amsinckia menziesii",NA,NA
"30","in:109114269","Amsinckia menziesii","cheonggaegori","iNaturalist",2022-03-20,"Orange","high",33.590761,-117.521636,"Caspers Wilderness Park, Orange",50,"Amsinckia menziesii",NA,NA
