"","id","taxon","observer","source","date","county","location_quality","latitude","longitude","location_description","accuracy_square_meters","plant","phenology","phenology_code"
"1","in:107198806","Caulanthus lasiophyllus","lglevanik","iNaturalist",2022-02-20,"Napa","high",38.499992,-122.10597,NA,706,"Caulanthus lasiophyllus",NA,NA
"2","in:109063412","Caulanthus lasiophyllus","sunnyphyta","iNaturalist",2022-03-20,"Orange","high",33.541764,-117.55194,NA,50,"Caulanthus lasiophyllus",NA,NA
"3","in:115846681","Caulanthus lasiophyllus","aparrot1","iNaturalist",2022-04-30,"Monterey","high",36.589722,-121.67067,"Toro County Park, Salinas, CA",50,"Caulanthus lasiophyllus",NA,NA
"4","in:12001468","Caulanthus lasiophyllus","sea-kangaroo","iNaturalist",2018-04-27,"Marin","high",38.05752,-122.74103,"Nicasio Ridge, California",706,"Caulanthus lasiophyllus",NA,NA
"5","in:12473383","Caulanthus lasiophyllus","Christian Schwarz","iNaturalist",2018-05-14,"Los Angeles","high",34.233288,-118.29207,"La Tuna Canyon Rd, Los Angeles, CA, US",804,"Caulanthus lasiophyllus",NA,NA
"6","in:1403954","Caulanthus lasiophyllus","James Bailey","iNaturalist",2015-04-17,"Ventura","high",34.11804,-118.923993,"Circle X Ranch (Mishe Mokwa Trail)",3848,"Caulanthus lasiophyllus",NA,NA
"7","in:152699753","Caulanthus lasiophyllus","jordanii","iNaturalist",2023-03-27,"Kern","high",35.310488,-119.468278,"Elk Hills Rd, Fellows, CA",50,"Caulanthus lasiophyllus",NA,NA
"8","in:154031156","Caulanthus lasiophyllus","rogerstephens","iNaturalist",2023-04-08,"San Luis Obispo","high",35.108147,-119.849808,"Carrizo Plain National Monument, Santa Margarita, CA",78,"Caulanthus lasiophyllus",NA,NA
"9","in:167105456","Caulanthus lasiophyllus","oceanf","iNaturalist",2023-06-12,"Santa Cruz","high",37.226171,-122.108259,NA,12,"Caulanthus lasiophyllus",NA,NA
"10","in:167618408","Caulanthus lasiophyllus","flaveboy","iNaturalist",2023-06-15,"Los Angeles","high",34.092153,-118.739713,"Malibu Creek State Park, Malibu, CA",201,"Caulanthus lasiophyllus",NA,NA
"11","in:18794124","Caulanthus lasiophyllus","birgitknorr","iNaturalist",2018-12-02,"San Diego","high",32.907675,-116.250382,"San Diego County, US-CA, US",78,"Caulanthus lasiophyllus",NA,NA
"12","in:20271198","Caulanthus lasiophyllus","jd_sd_fieldobvs","iNaturalist",2019-02-10,"San Diego","high",32.861286,-116.226978,"San Diego County, US-CA, US",113,"Caulanthus lasiophyllus",NA,NA
"13","in:20393295","Caulanthus lasiophyllus","jprado","iNaturalist",2019-02-12,"Riverside","high",33.576063,-115.995628,"Box Canyon Rd, Mecca, CA, US",78,"Caulanthus lasiophyllus",NA,NA
"14","in:204103663","Caulanthus lasiophyllus","Aaron Echols","iNaturalist",2024-03-24,"San Bernardino","high",35.238746,-116.042373,"Mojave National Preserve, Baker, CA, US",380,"Caulanthus lasiophyllus",NA,NA
"15","in:204141143","Caulanthus lasiophyllus","odinbriem0","iNaturalist",2024-03-21,"Kern","high",35.560383,-117.713112,"S China Lake Blvd, Ridgecrest, CA, US",50,"Caulanthus lasiophyllus",NA,NA
"16","in:20466806","Caulanthus lasiophyllus","Kate Harper","iNaturalist",2019-02-18,"San Diego","high",33.287014,-116.156494,"Anza-Borrego Desert State Park, Borrego Springs, CA, US",78,"Caulanthus lasiophyllus",NA,NA
"17","in:204675563","Caulanthus lasiophyllus","Syd Magner","iNaturalist",2024-03-29,"San Diego","high",33.40487,-116.248352,"Borrego Springs, CA 92004, USA",50,"Caulanthus lasiophyllus",NA,NA
