"ID","Taxon","Observer","Source","Date","County","Location Quality","Latitude","Longitude","Location Description","Accuracy: Square Meters","Plant","Phenology","Phenology Code"
"wb2209-7009","Centromadia pungens ssp. maritima","Dean Taylor","","1990-09-17","Fresno","high","36.00504","-120.45505","Parkfield Grade, ca. 10.2 miles S of Parkfield Junction (junction with Highway 198),","","Centromadia pungens ssp. maritima","",""
"wb2209-7737","Centromadia pungens ssp. maritima","Dean Taylor","","1969-04-16","Fresno","high","36.73785","-120.14675","Highway 180 7.5 miles W of Kerman","","Centromadia pungens ssp. maritima","",""
"cbo26088","Centromadia pungens ssp. pungens","Lynn Overtree","","2014-10-02","Santa Clara","high","36.937769","-121.62413","Land Trust of Santa Cruz County's Star Creek Ranch","","Centromadia pungens ssp. pungens","Fruiting","R"
"cbo52876","Centromadia pungens ssp. pungens","Keir Morse","","2016-07-24","Fresno","high","36.732299","-120.340483","","","Centromadia pungens ssp. pungens","",""
"dfa8336","Centromadia pungens ssp. pungens","staff","DFW Vegetation Classification and Mapping Program","2013-02-19","Merced","high","37.109","-120.808336","","","Centromadia pungens ssp. pungens","",""
"gp16682","Centromadia pungens ssp. pungens","Michael Perlmutter","","2019-06-13","Alameda","high","37.79567","-122.25952","Channel Park","","Centromadia pungens ssp. pungens","",""
"in:268021380","Centromadia pungens ssp. pungens","sapienshane","iNaturalist","2025-03-31","Kern","high","35.515498","-119.501564","Wasco","","Centromadia pungens ssp. pungens","",""
"in:281373876","Centromadia pungens ssp. pungens","jordanii","iNaturalist","2025-05-15","Sacramento","high","38.340272","-121.327362","Southeast, Wilton, CA","153","Centromadia pungens ssp. pungens","",""
"in:62008352","Centromadia pungens ssp. pungens","Chloe Novak","iNaturalist","2020-09-20","Alameda","low","37.723416","-121.735477","Springtown, Livermore","2010619","Centromadia pungens ssp. pungens","",""
"io119826","Centromadia pungens ssp. pungens","Mike Russler","","2023-03-28","Kern","high","35.640548","-119.579842","","","Centromadia pungens ssp. pungens","",""
"io141650","Centromadia pungens ssp. pungens","Mike Russler","","2024-09-06","San Luis Obispo","high","35.461228","-120.332322","","50","Centromadia pungens ssp. pungens","",""
"io150674","Centromadia pungens ssp. pungens","Mike Russler","","2025-04-05","Tulare","high","36.195893","-119.194843","James K. Herbert Wetland Prairie Preserve.","","Centromadia pungens ssp. pungens","",""
"io150675","Centromadia pungens ssp. pungens","Mike Russler","","2025-04-05","Tulare","high","36.195135","-119.19519","James K. Herbert Wetland Prairie Preserve.","201","Centromadia pungens ssp. pungens","",""
"io52796","Centromadia pungens ssp. pungens","Stanley Gu","East Bay Chapter CNPS Unusual Plants","2021-07-11","Alameda","high","37.552178","-121.959525","Fremont Central Park. Plants follow the concrete path for about 200 meters going east from the coordinates. Plants are on south side of the path. Turf fields on north side of path.","314","Centromadia pungens ssp. pungens","",""
"io57723","Centromadia pungens ssp. pungens","Stanley Gu","East Bay Chapter CNPS Unusual Plants","2021-09-29","Alameda","high","37.550591","-121.960052","Fremont Central Park. Plants follow concrete path for about 800 feet going west from the coordinates. Plants are within 80 feet of the path on the north side.","314","Centromadia pungens ssp. pungens","",""
"io62299","Centromadia pungens ssp. pungens","Cynthia Powell","","2022-03-14","Contra Costa","high","37.83846","-121.62351","","78","Centromadia pungens ssp. pungens","",""
"io62301","Centromadia pungens ssp. pungens","Cynthia Powell","","2022-03-14","Contra Costa","high","37.83847","-121.62363","","78","Centromadia pungens ssp. pungens","",""
"io72107","Centromadia pungens ssp. pungens","Ryan Carle","","2022-07-10","Alameda","high","37.656854","-122.15706","Located along trail at Hayward Regional Shoreline just north of “Frank’s Dump” area. ","78","Centromadia pungens ssp. pungens","Flowering","F"
"io95295","Centromadia pungens ssp. pungens","Ramona Robison","","2023-06-27","Sonoma","high","38.21988","-122.59712","","28","Centromadia pungens ssp. pungens","",""
