"","id","taxon","observer","source","date","county","location_quality","latitude","longitude","location_description","accuracy_square_meters","plant","phenology","phenology_code"
"1","in:281373876","Centromadia pungens ssp. pungens","jordanii","iNaturalist",2025-05-15,"Sacramento","high",38.340272,-121.327362,"Southeast, Wilton, CA",153,"Centromadia pungens ssp. pungens",NA,NA
"2","io141650","Centromadia pungens ssp. pungens","Mike Russler",NA,2024-09-06,"San Luis Obispo","high",35.461228,-120.332322,NA,50,"Centromadia pungens ssp. pungens",NA,NA
"3","io150675","Centromadia pungens ssp. pungens","Mike Russler",NA,2025-04-05,"Tulare","high",36.195135,-119.19519,"James K. Herbert Wetland Prairie Preserve.",201,"Centromadia pungens ssp. pungens",NA,NA
"4","io52796","Centromadia pungens ssp. pungens","Stanley Gu","East Bay Chapter CNPS Unusual Plants",2021-07-11,"Alameda","high",37.552178,-121.959525,"Fremont Central Park. Plants follow the concrete path for about 200 meters going east from the coordinates. Plants are on south side of the path. Turf fields on north side of path.",314,"Centromadia pungens ssp. pungens",NA,NA
"5","io57723","Centromadia pungens ssp. pungens","Stanley Gu","East Bay Chapter CNPS Unusual Plants",2021-09-29,"Alameda","high",37.550591,-121.960052,"Fremont Central Park. Plants follow concrete path for about 800 feet going west from the coordinates. Plants are within 80 feet of the path on the north side.",314,"Centromadia pungens ssp. pungens",NA,NA
"6","io62299","Centromadia pungens ssp. pungens","Cynthia Powell",NA,2022-03-14,"Contra Costa","high",37.83846,-121.62351,NA,78,"Centromadia pungens ssp. pungens",NA,NA
"7","io62301","Centromadia pungens ssp. pungens","Cynthia Powell",NA,2022-03-14,"Contra Costa","high",37.83847,-121.62363,NA,78,"Centromadia pungens ssp. pungens",NA,NA
"8","io72107","Centromadia pungens ssp. pungens","Ryan Carle",NA,2022-07-10,"Alameda","high",37.656854,-122.15706,"Located along trail at Hayward Regional Shoreline just north of “Frank’s Dump” area.",78,"Centromadia pungens ssp. pungens","Flowering","F"
"9","io95295","Centromadia pungens ssp. pungens","Ramona Robison",NA,2023-06-27,"Sonoma","high",38.21988,-122.59712,NA,28,"Centromadia pungens ssp. pungens",NA,NA
"10","io95300","Centromadia pungens ssp. pungens","Ramona Robison",NA,2023-06-27,"Sonoma","medium",38.22005,-122.59866,NA,20611,"Centromadia pungens ssp. pungens",NA,NA
"11","mg112513","Centromadia pungens ssp. pungens","R.A. Chasey",NA,2020-05-15,"Alameda","high",37.719837,-121.738674,NA,2875,"Centromadia pungens ssp. pungens",NA,NA
"12","mg157466","Centromadia pungens ssp. pungens","Cynthia Powell",NA,2022-03-14,"Contra Costa","high",37.838423,-121.623609,NA,90,"Centromadia pungens ssp. pungens",NA,NA
"13","mg204701","Centromadia pungens ssp. pungens","Ryan O'Dell",NA,2023-05-17,"Fresno","high",35.9092,-120.318066,NA,146,"Centromadia pungens ssp. pungens",NA,NA
"14","mg204709","Centromadia pungens ssp. pungens","Ryan O'Dell",NA,2023-05-17,"Fresno","high",35.909228,-120.318162,NA,95,"Centromadia pungens ssp. pungens",NA,NA
"15","mg219440","Centromadia pungens ssp. pungens","Ryan O'Dell",NA,2023-08-02,"Fresno","high",36.423499,-120.582112,NA,46,"Centromadia pungens ssp. pungens",NA,NA
"16","mg224227","Centromadia pungens ssp. pungens","Ryan O'Dell",NA,2023-08-28,"Monterey","high",36.019757,-120.94906,NA,295,"Centromadia pungens ssp. pungens",NA,NA
"17","mg243085","Centromadia pungens ssp. pungens","Ryan O'Dell",NA,2024-05-17,"San Benito","high",36.545587,-120.835637,NA,43,"Centromadia pungens ssp. pungens",NA,NA
"18","mg243087","Centromadia pungens ssp. pungens","Ryan O'Dell",NA,2024-05-17,"San Benito","high",36.545583,-120.835645,NA,59,"Centromadia pungens ssp. pungens",NA,NA
"19","mg273444","Centromadia pungens ssp. pungens","David popp",NA,2025-04-29,"Butte","high",39.317253,-121.799299,NA,205,"Centromadia pungens ssp. pungens","Flowering","F"
"20","mu26838","Centromadia pungens ssp. pungens","Steve Matson",NA,2022-04-10,"Merced","high",37.2144,-120.1978,"6R72+QV Le Grand, CA, USA",7854,"Centromadia pungens ssp. pungens",NA,NA
"21","mu3207","Centromadia pungens ssp. pungens","Jennifer Mo",NA,2020-05-14,"Santa Clara","high",37.3387,-121.8117,"2825 Cunningham Ave, San Jose, CA 95148, USA",7854,"Centromadia pungens ssp. pungens",NA,NA
"22","po258362","Centromadia pungens ssp. pungens","Manzanita Dictionary",NA,2023-10-20,"Los Angeles","high",34.810946,-118.143415,"western Mojave Desert: exurban alluvial flats W of Dry Lake Rosamond",10207,"Centromadia pungens ssp. pungens",NA,NA
"23","wb1194-693","Centromadia pungens ssp. pungens","Brian and Eileen Keelan",NA,2012-06-01,"Fresno","high",36.73096,-120.29642,"Alkali Sink Ec Pres, 0.2 mi S of ... -- Rte 180, 13 mi W of Kerman",1200,"Centromadia pungens ssp. pungens",NA,NA
