"","id","taxon","observer","source","date","county","location_quality","latitude","longitude","location_description","accuracy_square_meters","plant","phenology","phenology_code"
"1","in:10134567","Lasthenia californica","Christian Schwarz","iNaturalist",2018-03-07,"Los Angeles","high",34.423997,-118.60682,"Valencia, CA 91355, Valencia, CA, US",113,"Lasthenia californica",NA,NA
"2","in:10885067","Lasthenia californica","Alex Shepard","iNaturalist",2018-04-13,"San Francisco","high",37.791855,-122.457878,"The Presidio of San Francisco, San Francisco, CA, US",314,"Lasthenia californica",NA,NA
"3","in:109306868","Lasthenia californica","teenuh","iNaturalist",2022-03-23,"Orange","high",33.674401,-117.644664,"Whiting Ranch Wilderness Park, Lake Forest, CA",5281,"Lasthenia californica",NA,NA
"4","in:109306896","Lasthenia californica","littlebee260","iNaturalist",2022-03-23,"Orange","high",33.674442,-117.644585,"Whiting Ranch Wilderness Park, Lake Forest, CA",78,"Lasthenia californica",NA,NA
"5","in:109309116","Lasthenia californica","madisonhelms17","iNaturalist",2022-03-23,"Orange","high",33.674485,-117.647871,"Whiting Ranch Wilderness Park, Lake Forest, CA",254,"Lasthenia californica",NA,NA
"6","in:109309397","Lasthenia californica","teenuh","iNaturalist",2022-03-23,"Orange","high",33.674486,-117.647743,"Whiting Ranch Wilderness Park, Lake Forest, CA",314,"Lasthenia californica",NA,NA
"7","in:109309498","Lasthenia californica","glommergoop","iNaturalist",2022-03-23,"Orange","high",33.674502,-117.647767,"Whiting Ranch Wilderness Park, Lake Forest, CA",254,"Lasthenia californica",NA,NA
"8","in:109309981","Lasthenia californica","godscoconut","iNaturalist",2022-03-23,"Orange","high",33.674372,-117.647878,"Whiting Ranch Wilderness Park, Lake Forest, CA",153,"Lasthenia californica",NA,NA
"9","in:110027643","Lasthenia californica","davidegriffin","iNaturalist",2022-03-31,"Orange","high",33.630497,-117.881438,"Big Canyon Nature Park, Newport Beach, CA",78,"Lasthenia californica",NA,NA
"10","in:11354927","Lasthenia californica","Merav Vonshak","iNaturalist",2018-04-20,"Santa Clara","high",37.092575,-121.722397,"Santa Clara County, CA, USA",452,"Lasthenia californica",NA,NA
"11","in:11375883","Lasthenia californica","rappman","iNaturalist",2018-04-23,"Merced","high",37.050531,-121.213792,"Los Banos",78,"Lasthenia californica",NA,NA
"12","in:11977458","Lasthenia californica","rick","iNaturalist",2018-04-27,"Santa Clara","high",37.209161,-121.808099,"South San Jose, San Jose, CA",201,"Lasthenia californica",NA,NA
"13","in:12000250","Lasthenia californica","Damon Tighe","iNaturalist",2018-04-29,"Contra Costa","high",37.903908,-121.919747,"Contra Costa County, CA, USA",78,"Lasthenia californica",NA,NA
"14","in:12023758","Lasthenia californica","Damon Tighe","iNaturalist",2018-04-30,"Sonoma","high",38.574475,-123.337997,"Sonoma County, CA, USA",78,"Lasthenia californica",NA,NA
"15","in:12534516","Lasthenia californica","amyruegg","iNaturalist",2018-05-13,"Sonoma","high",38.748306,-123.520264,"Sonoma County, CA, USA",78,"Lasthenia californica",NA,NA
"16","in:12779839","Lasthenia californica","bettyblue","iNaturalist",2018-05-09,"Alameda","high",37.802642,-122.174225,"Alameda County, CA, USA",78,"Lasthenia californica",NA,NA
"17","in:1335139","Lasthenia californica","Ken-ichi Ueda","iNaturalist",2015-03-22,"Alameda","high",37.803259,-122.173297,"Redwood Regional Park, Castro Valley, CA, US",78,"Lasthenia californica",NA,NA
"18","in:198066168","Lasthenia californica","asabspade","iNaturalist",2024-01-30,"Mendocino","medium",39.459988,-123.807377,NA,45996,"Lasthenia californica",NA,NA
"19","in:200624599","Lasthenia californica","Matthew Wang","iNaturalist",2024-02-25,"Los Angeles","high",32.818305,-118.355653,"San Clemente Island Underwater Range, CA, US",3421,"Lasthenia californica",NA,NA
"20","in:207257719","Lasthenia californica","bunsenburnout","iNaturalist",2024-04-07,"Santa Clara","medium",36.980817,-121.57885,"Casita Way, Gilroy, CA, US",16741,"Lasthenia californica",NA,NA
"21","in:208165438","Lasthenia californica","jp11king","iNaturalist",2024-04-15,"Napa","high",38.383331,-122.241753,"Napa County, CA, USA",153,"Lasthenia californica",NA,NA
"22","in:21037472","Lasthenia californica","Jon Aull","iNaturalist",2019-03-07,"Butte","high",39.77403,-121.786284,"Butte County, US-CA, US",254,"Lasthenia californica",NA,NA
"23","in:21585748","Lasthenia californica","Jenny Iyer","iNaturalist",2019-03-24,"Riverside","high",34.018079,-117.442677,"Jurupa Valley, CA, USA",12,"Lasthenia californica",NA,NA
"24","in:21619949","Lasthenia californica","samarda","iNaturalist",2019-03-21,"Merced","high",37.375022,-120.414688,"95340, Merced, CA, US",254,"Lasthenia californica",NA,NA
"25","in:21637172","Lasthenia californica","Linnea","iNaturalist",2019-03-25,"Ventura","high",34.223627,-118.925499,"Thousand Oaks, CA 91360, USA",380,"Lasthenia californica",NA,NA
"26","in:21766223","Lasthenia californica","rappman","iNaturalist",2019-03-29,"San Benito","high",36.488987,-121.205628,"Pinnacles National Park, Paicines, CA, US",78,"Lasthenia californica",NA,NA
"27","in:21766508","Lasthenia californica","rappman","iNaturalist",2019-03-29,"San Benito","high",36.480167,-121.223372,"Pinnacles National Park, Paicines, CA, US",78,"Lasthenia californica",NA,NA
"28","in:21853224","Lasthenia californica","pocketmouse","iNaturalist",2019-03-30,"San Luis Obispo","high",35.24162,-119.905778,"Carrizo Plain National Monument, Santa Margarita, CA, US",78,"Lasthenia californica",NA,NA
"29","in:21962036","Lasthenia californica","kimberlysh","iNaturalist",2019-04-03,"San Mateo","high",37.466501,-122.446037,"94019, Half Moon Bay, CA, US",78,"Lasthenia californica",NA,NA
"30","in:22065742","Lasthenia californica","Hailey Adler","iNaturalist",2019-04-05,"Yolo","high",38.544557,-121.766429,"University of California",78,"Lasthenia californica",NA,NA
"31","in:22071587","Lasthenia californica","karenh2006","iNaturalist",2019-04-05,"Los Angeles","high",34.142517,-118.783112,"91301, Agoura Hills, CA, US",78,"Lasthenia californica",NA,NA
"32","in:22196648","Lasthenia californica","Brett Bell","iNaturalist",2019-04-07,"Monterey","high",36.662117,-121.753355,"93933, Marina, CA, US",78,"Lasthenia californica",NA,NA
"33","in:22237368","Lasthenia californica","sea-kangaroo","iNaturalist",2019-04-07,"Santa Clara","high",37.22909,-121.71258,"Coyote Ridge Open Space Preserve, California",314,"Lasthenia californica",NA,NA
"34","in:22237685","Lasthenia californica","mayaartemisia","iNaturalist",2019-04-08,"San Luis Obispo","high",35.031258,-119.482947,"Carrizo Plain National Monument, Santa Margarita, CA, US",113,"Lasthenia californica",NA,NA
"35","in:22284701","Lasthenia californica","eberlenw001","iNaturalist",2019-04-09,"Napa","high",38.828658,-122.349328,"94558, Napa, CA, US",78,"Lasthenia californica",NA,NA
"36","in:22471581","Lasthenia californica","teri_lane2018","iNaturalist",2019-03-21,"Orange","high",33.657905,-117.784508,"92603, Irvine, CA, US",804,"Lasthenia californica",NA,NA
"37","in:22908779","Lasthenia californica","smfang","iNaturalist",2019-04-21,"San Diego","high",33.086767,-117.209463,"Denning Dr, Encinitas, CA, US",804,"Lasthenia californica",NA,NA
"38","in:240843","Lasthenia californica","Joel E","iNaturalist",2013-04-19,"Sonoma","high",38.574728,-122.693354,NA,78,"Lasthenia californica",NA,NA
"39","in:264502286","Lasthenia californica","jay9999","iNaturalist",2025-03-07,"Butte","high",39.782106,-121.728393,"Chico, CA",28,"Lasthenia californica",NA,NA
"40","in:26522465","Lasthenia californica","Leslie Flint","iNaturalist",2019-06-06,"San Mateo","high",37.234007,-122.415519,"Bean Hollow State Beach, San Mateo County, US-CA, US",804,"Lasthenia californica",NA,NA
"41","in:265662869","Lasthenia californica","justinsald","iNaturalist",2025-03-16,"Yolo","high",38.642742,-121.720278,"County Road 102, Woodland, CA, US",50,"Lasthenia californica",NA,NA
"42","in:267057063","Lasthenia californica","Sarah","iNaturalist",2025-03-25,"Sonoma","high",38.173272,-122.487586,"Sonoma County, CA, USA",78,"Lasthenia californica",NA,NA
"43","in:267283503","Lasthenia californica","dircasandderelicts","iNaturalist",2025-03-27,"Marin","high",38.24958,-122.944253,"Dillon Beach Rd, Petaluma, CA, US",50,"Lasthenia californica",NA,NA
"44","in:269012934","Lasthenia californica","catkatkata","iNaturalist",2025-04-05,"Lake","high",38.943303,-122.91047,"Highland Springs Rd, Lakeport, CA, US",1017,"Lasthenia californica",NA,NA
"45","in:271101359","Lasthenia californica","Sarah","iNaturalist",2025-04-12,"Colusa","high",39.149414,-122.435189,"Colusa County, CA, USA",615,"Lasthenia californica",NA,NA
"46","in:2757513","Lasthenia californica","James Bailey","iNaturalist",2016-03-06,"San Diego","high",32.671945,-117.244747,"Cabrillo National Monument, San Diego County, US-CA, US",113,"Lasthenia californica",NA,NA
"47","in:276921508","Lasthenia californica","emanuelvillanueva","iNaturalist",2025-04-29,"Sonoma","high",38.455251,-122.722458,"Santa Rosa Junior College, Santa Rosa, CA, US",1661,"Lasthenia californica",NA,NA
"48","in:278771621","Lasthenia californica","Sarah","iNaturalist",2025-05-02,"Sonoma","high",38.705875,-123.033464,"Sonoma County, CA, USA",78,"Lasthenia californica",NA,NA
"49","in:2850661","Lasthenia californica","Alyson S.","iNaturalist",2016-03-28,"San Benito","high",36.498999,-121.131301,"95043, Paicines, CA, US",3,"Lasthenia californica",NA,NA
"50","in:2950093","Lasthenia californica","jriddell","iNaturalist",2016-04-16,"Mendocino","medium",39.161197,-123.227128,NA,52279,"Lasthenia californica",NA,NA
"51","in:32984539","Lasthenia californica","asabspade","iNaturalist",2019-05-20,"Mendocino","high",39.463392,-123.807559,NA,706,"Lasthenia californica",NA,NA
"52","in:371494","Lasthenia californica","Meghan Walla-Murphy","iNaturalist",2013-04-07,"Sonoma","high",38.449853,-122.974606,NA,78,"Lasthenia californica",NA,NA
"53","in:38731903","Lasthenia californica","Jeff Goddard","iNaturalist",2020-02-16,"Santa Barbara","high",34.748695,-120.057894,"Santa Barbara County, CA, USA",201,"Lasthenia californica",NA,NA
