"","id","taxon","observer","source","date","county","location_quality","latitude","longitude","location_description","accuracy_square_meters","plant","phenology","phenology_code"
"1","gp11101","Lasthenia gracilis","Ron Vanderhoff",NA,2019-02-07,"San Diego","high",33.42297,-117.57509,"Christianitos Rd, E end, S side, San Clemente",100,"Lasthenia gracilis","Flowering","F"
"2","gp13054","Lasthenia gracilis","Ron Vanderhoff",NA,2019-03-10,"Riverside","high",33.78962,-117.34109,"Santa Rosa Mine Rd., E Gavilan",100,"Lasthenia gracilis","Flowering","F"
"3","gp13110","Lasthenia gracilis","Ron Vanderhoff",NA,2019-03-14,"Orange","high",33.82129,-117.64449,"Black Star Canyon, .5 mi W Main Divide Rd., Santa Ana Mts.",100,"Lasthenia gracilis","Flowering","F"
"4","gp13133","Lasthenia gracilis","Ron Vanderhoff",NA,2019-03-16,"Orange","high",33.6344,-117.84819,"UCI Ecological Preserve, Irvine",100,"Lasthenia gracilis","Flowering","F"
"5","gp13342","Lasthenia gracilis","Ron Vanderhoff",NA,2019-03-23,"Orange","high",33.63602,-117.84543,"UCI Ecological Preserve, Irvine",100,"Lasthenia gracilis","Flowering","F"
"6","gp14015","Lasthenia gracilis","Ron Vanderhoff",NA,2019-04-04,"San Diego","high",33.41822,-117.57898,"Christianitos Rd., approx .7 mi NE San Mateo Campground",100,"Lasthenia gracilis","Flowering","F"
"7","gp20108","Lasthenia gracilis","Don M. Davis",NA,2019-03-31,"Los Angeles","high",34.77384,-117.77414,"Creosote bush scrub near Phacelia Wildlife Sanctuary. Growing with Larrea tridentata, Muilla coronata, Erodium cicutarium, Cryptantha sp., and Gilia sp..",314,"Lasthenia gracilis",NA,NA
"8","gp20621","Lasthenia gracilis","Ron Vanderhoff",NA,2020-03-01,"Riverside","high",33.59783,-117.34426,"Vic Elsinore Peak, Santa Ana Mts.",100,"Lasthenia gracilis","Flowering","F"
"9","in:10231052","Lasthenia gracilis","twr61","iNaturalist",2018-03-08,"Butte","high",39.589257,-121.548402,"Butte County, CA, USA",314,"Lasthenia gracilis",NA,NA
"10","in:10239347","Lasthenia gracilis","twr61","iNaturalist",2018-03-08,"Butte","high",39.578097,-121.558383,"Butte County, CA, USA",314,"Lasthenia gracilis",NA,NA
"11","in:109317348","Lasthenia gracilis","markm_","iNaturalist",2022-03-23,"Orange","high",33.791283,-117.745135,"Orange, CA",11689,"Lasthenia gracilis",NA,NA
"12","in:11175197","Lasthenia gracilis","Pinnacles National Park","iNaturalist",2018-04-13,"San Benito","high",36.458967,-121.146575,"Pinnacles National Park, Paicines, CA, US",78,"Lasthenia gracilis",NA,NA
"13","in:11177451","Lasthenia gracilis","Pinnacles National Park","iNaturalist",2018-04-13,"San Benito","high",36.472313,-121.146392,"Pinnacles National Park, Paicines, CA, US",78,"Lasthenia gracilis",NA,NA
"14","in:112879162","Lasthenia gracilis","okbirdman","iNaturalist",2022-04-22,"Kern","high",35.372375,-117.993966,NA,28,"Lasthenia gracilis",NA,NA
"15","in:11384893","Lasthenia gracilis","Terry Hunefeld","iNaturalist",2018-04-23,"San Diego","high",33.224438,-116.461357,"San Diego County, US-CA, US",78,"Lasthenia gracilis",NA,NA
"16","in:12150195","Lasthenia gracilis","helenk","iNaturalist",2018-05-04,"Sonoma","high",38.428488,-122.627937,"Trione-Annadel State Park, Santa Rosa, CA, US",78,"Lasthenia gracilis",NA,NA
"17","in:149243817","Lasthenia gracilis","accidentalstars","iNaturalist",2023-02-20,"Orange","high",33.79165,-117.750533,"Santiago Hills, Orange, CA",50,"Lasthenia gracilis",NA,NA
"18","in:150244119","Lasthenia gracilis","liuelliot2187","iNaturalist",2023-03-04,"San Diego","high",32.865372,-117.19905,"Nobel Dr, San Diego, CA",50,"Lasthenia gracilis",NA,NA
"19","in:151511241","Lasthenia gracilis","ddefreese","iNaturalist",2023-03-17,"Contra Costa","high",37.843392,-121.653868,"Brentwood",50,"Lasthenia gracilis",NA,NA
"20","in:153775191","Lasthenia gracilis","william_hoyer","iNaturalist",2023-04-06,"Ventura","high",33.247525,-119.47608,"San Nicolas Naval Facility, CA",201,"Lasthenia gracilis",NA,NA
"21","in:154274311","Lasthenia gracilis","bbell","iNaturalist",2023-04-09,"Orange","high",33.50173,-117.647583,"La Novia Ave, San Juan Capistrano, CA",50,"Lasthenia gracilis",NA,NA
"22","in:155198048","Lasthenia gracilis","eddie-p13","iNaturalist",2023-04-16,"Orange","high",33.686873,-117.636842,NA,254,"Lasthenia gracilis",NA,NA
"23","in:155238787","Lasthenia gracilis","cinditran","iNaturalist",2023-04-16,"Orange","high",33.674495,-117.647688,"Whiting Ranch Wilderness Park, Lake Forest, CA",50,"Lasthenia gracilis",NA,NA
"24","in:155283459","Lasthenia gracilis","vreinkymov","iNaturalist",2023-04-16,"Orange","high",33.674171,-117.647545,NA,201,"Lasthenia gracilis",NA,NA
"25","in:155339865","Lasthenia gracilis","anizohrabyan","iNaturalist",2023-04-16,"Orange","high",33.674355,-117.647933,"Whiting Ranch Wilderness Park, Lake Forest, CA",50,"Lasthenia gracilis",NA,NA
"26","in:155372834","Lasthenia gracilis","kroque98","iNaturalist",2023-04-16,"Orange","high",33.686867,-117.636907,NA,201,"Lasthenia gracilis",NA,NA
"27","in:200601809","Lasthenia gracilis","jordanii","iNaturalist",2024-02-25,"Butte","high",39.769512,-121.76912,"Bidwell Park, Chico, CA",452,"Lasthenia gracilis",NA,NA
"28","in:201078931","Lasthenia gracilis","mhrains","iNaturalist",2024-03-02,"San Diego","high",33.078461,-116.421167,"Anza-Borrego Desert State Park, Julian, CA, US",50,"Lasthenia gracilis",NA,NA
"29","in:203044456","Lasthenia gracilis","aparrot1","iNaturalist",2024-03-18,"Monterey","high",36.602312,-121.684372,"Toro County Park, Salinas, CA",50,"Lasthenia gracilis",NA,NA
"30","in:203305831","Lasthenia gracilis","jrcowles","iNaturalist",2024-03-20,"Orange","high",33.802857,-117.794976,"Orange",113,"Lasthenia gracilis",NA,NA
"31","in:203430170","Lasthenia gracilis","weverkaj","iNaturalist",2024-03-17,"San Bernardino","high",35.221112,-117.450462,"Boron, CA, US",153,"Lasthenia gracilis",NA,NA
"32","in:203821304","Lasthenia gracilis","jrcowles","iNaturalist",2024-03-24,"Riverside","high",33.598249,-117.343945,"Lake Elsinore",113,"Lasthenia gracilis",NA,NA
"33","in:204689997","Lasthenia gracilis","smfang","iNaturalist",2024-03-29,"San Diego","high",32.996912,-116.745567,"Cleveland National Forest, Ramona, CA, US",50,"Lasthenia gracilis",NA,NA
"34","in:206878563","Lasthenia gracilis","meljean","iNaturalist",2024-04-10,"Los Angeles","high",33.400683,-118.47635,"Santa Catalina Island, Avalon, CA",50,"Lasthenia gracilis",NA,NA
"35","in:206878709","Lasthenia gracilis","meljean","iNaturalist",2024-04-10,"Los Angeles","high",33.401572,-118.476028,"Santa Catalina Island, Avalon, CA",50,"Lasthenia gracilis",NA,NA
"36","in:206883489","Lasthenia gracilis","meljean","iNaturalist",2024-04-08,"Los Angeles","high",33.42337,-118.470933,"Santa Catalina Island, Avalon, CA",50,"Lasthenia gracilis",NA,NA
"37","in:20775037","Lasthenia gracilis","Christian Schwarz","iNaturalist",2019-02-25,"Los Angeles","high",33.24488,-119.466087,"Naval Outlying Field San Nicolas Island, , CA, US",452,"Lasthenia gracilis",NA,NA
"38","in:207777076","Lasthenia gracilis","Morgan G.","iNaturalist",2024-04-13,"San Bernardino","high",34.149292,-116.457122,"Skyline Ranch Rd, Yucca Valley, CA, US",28,"Lasthenia gracilis",NA,NA
"39","in:20823299","Lasthenia gracilis","Adam Searcy","iNaturalist",2019-02-26,"Los Angeles","high",33.268683,-119.523803,"San Nicolas Naval Facility, , CA, US",78,"Lasthenia gracilis",NA,NA
"40","in:20865667","Lasthenia gracilis","sue_meiman","iNaturalist",2019-03-01,"Los Angeles","medium",32.968979,-118.569268,"Los Angeles County, CA, USA",29559,"Lasthenia gracilis",NA,NA
"41","in:20933001","Lasthenia gracilis","Millie Basden","iNaturalist",2019-03-03,"San Diego","high",32.840432,-117.074032,"Rim Trail, Mission Trails Regional Park, San Diego, CA",706,"Lasthenia gracilis",NA,NA
"42","in:20991871","Lasthenia gracilis","tmsan01","iNaturalist",2019-03-05,"Orange","high",33.709378,-118.057922,"Bolsa Chica Ecological Reserve, Huntington Beach, CA, US",78,"Lasthenia gracilis",NA,NA
"43","in:21004475","Lasthenia gracilis","Stephen Hodges","iNaturalist",2019-03-02,"San Diego","high",32.614045,-116.183912,"Jacumba Hot Springs, CA 91934, USA",50,"Lasthenia gracilis",NA,NA
"44","in:213053784","Lasthenia gracilis","Tom Chester","iNaturalist",2024-04-29,"Riverside","high",33.638,-116.60269,"Riverside County, CA, USA",78,"Lasthenia gracilis",NA,NA
"45","in:213078043","Lasthenia gracilis","Howard Friedman","iNaturalist",2024-04-28,"Santa Clara","high",37.223596,-121.707946,"Coyote, CA, USA",50,"Lasthenia gracilis",NA,NA
"46","in:21319170","Lasthenia gracilis","jd_sd_fieldobvs","iNaturalist",2019-03-15,"Imperial","medium",32.628736,-116.091373,"Ocotillo, CA 92259, USA",16741,"Lasthenia gracilis",NA,NA
"47","in:21399723","Lasthenia gracilis","smfang","iNaturalist",2019-03-19,"San Diego","high",33.177637,-117.300987,"Marron Rd, Carlsbad, CA, US",113,"Lasthenia gracilis",NA,NA
"48","in:21470944","Lasthenia gracilis","Adam Searcy","iNaturalist",2019-03-21,"Santa Barbara","high",33.47332,-119.039589,"Channel Islands National Park, , CA, US",78,"Lasthenia gracilis",NA,NA
"49","in:21545623","Lasthenia gracilis","Natalie Downe","iNaturalist",2019-03-21,"San Diego","high",33.126781,-116.42385,"Anza-Borrego Desert State Park, Julian, CA, US",78,"Lasthenia gracilis",NA,NA
"50","in:21760921","Lasthenia gracilis","dkincmbria","iNaturalist",2019-03-29,"San Luis Obispo","high",35.246517,-120.691156,NA,78,"Lasthenia gracilis",NA,NA
"51","in:21815718","Lasthenia gracilis","sea-kangaroo","iNaturalist",2019-03-19,"San Diego","high",33.1491,-116.34882,"Anza-Borrego Desert State Park, California",314,"Lasthenia gracilis",NA,NA
"52","in:21852885","Lasthenia gracilis","pocketmouse","iNaturalist",2019-03-30,"San Luis Obispo","high",35.275638,-119.816392,"Carrizo Plain National Monument, Santa Margarita, CA, US",78,"Lasthenia gracilis",NA,NA
"53","in:220131136","Lasthenia gracilis","susannaofwren","iNaturalist",2024-05-04,"Los Angeles","high",34.488587,-118.316887,"Pacific Crest National Scenic Trail, Santa Clarita, CA, US",50,"Lasthenia gracilis",NA,NA
"54","in:22306795","Lasthenia gracilis","marzduffy","iNaturalist",2019-04-09,"San Diego","high",32.644775,-116.69387,"Jamul, Jamul, CA, US",1809,"Lasthenia gracilis",NA,NA
"55","in:22394067","Lasthenia gracilis","jimpark67","iNaturalist",2019-04-01,"Imperial","high",32.67253,-116.097908,"92251, Imperial, CA, US",78,"Lasthenia gracilis",NA,NA
"56","in:22420901","Lasthenia gracilis","Terry Hunefeld","iNaturalist",2019-04-11,"San Diego","high",33.110675,-116.502854,"25909",78,"Lasthenia gracilis",NA,NA
"57","in:22482937","Lasthenia gracilis","parisrebl","iNaturalist",2019-04-13,"Los Angeles","high",33.357276,-118.35564,"Los Angeles County, US-CA, US",78,"Lasthenia gracilis",NA,NA
"58","in:22572116","Lasthenia gracilis","Don Rideout","iNaturalist",2019-04-15,"San Diego","high",33.234356,-116.598703,"San Diego County, CA, USA",78,"Lasthenia gracilis",NA,NA
"59","in:22684968","Lasthenia gracilis","ronvanderhoff","iNaturalist",2019-04-18,"Orange","high",33.741517,-117.652012,NA,706,"Lasthenia gracilis",NA,NA
"60","in:24419887","Lasthenia gracilis","Anna Arft","iNaturalist",2019-04-29,"San Diego","high",33.009702,-116.559187,"Cuyamaca Rancho State Park, Descanso, CA, US",78,"Lasthenia gracilis",NA,NA
"61","in:24422389","Lasthenia gracilis","smfang","iNaturalist",2019-04-26,"San Diego","high",33.086717,-117.209992,"Denning Dr, Encinitas, CA, US",113,"Lasthenia gracilis",NA,NA
"62","in:24633017","Lasthenia gracilis","dkincmbria","iNaturalist",2019-05-04,"San Benito","high",36.494636,-121.2072,NA,2827,"Lasthenia gracilis",NA,NA
"63","in:24641136","Lasthenia gracilis","catchang","iNaturalist",2019-05-04,"San Benito","high",36.470303,-121.187012,"Pinnacles National Park, Paicines, CA, US",201,"Lasthenia gracilis",NA,NA
"64","in:246588979","Lasthenia gracilis","shoals","iNaturalist",2024-03-04,"Ventura","high",34.261628,-118.805153,"Mount McCoy Trail, Simi Valley, CA",50,"Lasthenia gracilis",NA,NA
"65","in:259490034","Lasthenia gracilis","jordanii","iNaturalist",2025-01-24,"Butte","high",39.7771,-121.737633,"Bidwell Park, Chico, CA",615,"Lasthenia gracilis",NA,NA
"66","in:267016581","Lasthenia gracilis","Taye Bright","iNaturalist",2025-03-25,"Madera","high",37.367237,-119.688355,"Ahwahnee, CA, US",50,"Lasthenia gracilis",NA,NA
"67","in:270818098","Lasthenia gracilis","kevin mason","iNaturalist",2025-04-15,"Ventura","high",34.319867,-118.950128,"Waters Rd, Moorpark, CA, US",78,"Lasthenia gracilis",NA,NA
"68","in:273128916","Lasthenia gracilis","lupine_luminous","iNaturalist",2025-04-20,"Santa Barbara","high",34.035458,-120.046631,"Channel Islands National Park, CA, US",50,"Lasthenia gracilis",NA,NA
"69","in:27727722","Lasthenia gracilis","Adam Searcy","iNaturalist",2019-06-25,"Los Angeles","high",32.880962,-118.487083,"San Clemente Island Underwater Range, , CA, US",78,"Lasthenia gracilis",NA,NA
"70","in:278478786","Lasthenia gracilis","Melanie Davis","iNaturalist",2025-04-26,"Los Angeles","high",32.848355,-118.399863,"Los Angeles County, US-CA, US",113,"Lasthenia gracilis",NA,NA
"71","in:280862433","Lasthenia gracilis","Tom Chester","iNaturalist",2025-05-09,"San Diego","high",32.89606,-116.46994,"San Diego County, CA, USA",78,"Lasthenia gracilis",NA,NA
"72","in:39421118","Lasthenia gracilis","jerrythornton","iNaturalist",2020-03-01,"Orange","high",33.790792,-117.692192,"Fremont Canyon, Orange County, CA, USA",201,"Lasthenia gracilis",NA,NA
"73","in:40613583","Lasthenia gracilis","Don Rideout","iNaturalist",2020-03-23,"San Diego","high",33.220908,-116.705364,"San Diego County, CA, USA",1963,"Lasthenia gracilis",NA,NA
"74","in:41051239","Lasthenia gracilis","Aaron Echols","iNaturalist",2020-03-29,"San Bernardino","high",34.4846,-117.137864,"Japatul Rd, Apple Valley, CA, US",804,"Lasthenia gracilis",NA,NA
"75","in:41408775","Lasthenia gracilis","Douglas","iNaturalist",2020-04-04,"Riverside","high",33.993645,-117.326855,"Box Springs Mountain Reserve, Riverside, CA, US",314,"Lasthenia gracilis",NA,NA
"76","in:42290573","Lasthenia gracilis","Dan Fitzgerald (Fitz)","iNaturalist",2020-04-15,"Santa Clara","medium",37.360638,-121.482727,"Santa Clara County, California",7853,"Lasthenia gracilis",NA,NA
"77","in:5196665","Lasthenia gracilis","Adam Searcy","iNaturalist",2017-02-23,"San Diego","high",32.777464,-116.306528,"McCain Valley Nat'l Co-op Land & Wildlife Mngmt Area, San Diego County, US-CA, US",78,"Lasthenia gracilis",NA,NA
"78","in:5277034","Lasthenia gracilis","annikadrenidae","iNaturalist",2017-03-10,"San Diego","high",32.672177,-117.244792,"Cabrillo National Monument, San Diego, CA, US",3631,"Lasthenia gracilis",NA,NA
"79","in:53811173","Lasthenia gracilis","Ron Vanderhoff","iNaturalist",2016-02-28,"Orange","high",33.547087,-117.554514,NA,3019,"Lasthenia gracilis",NA,NA
"80","in:5509855","Lasthenia gracilis","rlolliffyang","iNaturalist",2017-03-30,"San Diego","high",33.298069,-117.462805,"Marine Corps Base Camp Pendleton, Camp Pendleton, CA, US",314,"Lasthenia gracilis",NA,NA
"81","in:5510572","Lasthenia gracilis","rlolliffyang","iNaturalist",2017-03-30,"Orange","high",33.636009,-117.845391,"University of California",78,"Lasthenia gracilis",NA,NA
"82","in:5571916","Lasthenia gracilis","hdriscoll","iNaturalist",2017-04-04,"Los Angeles","high",34.77923,-117.773618,"Phacelia Wildlife Sanctuary, Los Angeles County, US-CA, US",28,"Lasthenia gracilis",NA,NA
"83","in:5604097","Lasthenia gracilis","hdriscoll","iNaturalist",2017-04-07,"Los Angeles","high",34.761424,-118.086067,"48058-48198 25th Street East Lancaster, CA 93535",254,"Lasthenia gracilis",NA,NA
"84","in:71492179","Lasthenia gracilis","jared_huxley","iNaturalist",2021-03-15,"Riverside","medium",33.934703,-117.334938,"Canyon Crest Dr, Riverside, CA, US",25446,"Lasthenia gracilis",NA,NA
"85","in:71671553","Lasthenia gracilis","cynestor","iNaturalist",2021-03-20,"Ventura","medium",34.424731,-119.067399,"Santa Paula",28352,"Lasthenia gracilis",NA,NA
"86","in:72693523","Lasthenia gracilis","Christine Irwin","iNaturalist",2021-04-01,"Orange","high",33.843463,-117.73243,"S Summer Breeze Ln, Anaheim, CA",78,"Lasthenia gracilis",NA,NA
"87","in:73080220","Lasthenia gracilis","Aaron Echols","iNaturalist",2021-04-03,"Santa Barbara","high",34.930192,-119.726325,"Aliso Canyon Rd, New Cuyama, CA, US",3631,"Lasthenia gracilis",NA,NA
"88","in:77200898","Lasthenia gracilis","emilychebul /<br> Emily Chebul","iNaturalist",2021-05-02,"Orange","high",33.703094,-117.648553,"Limestone-Whiting Wilderness Park, Orange",78,"Lasthenia gracilis",NA,NA
"89","io122667","Lasthenia gracilis","Ron Vanderhoff",NA,2024-03-27,"Orange","high",33.637922,-117.75457,"100 NW junction Lake Forest Drive and Romano Rd., (500m E Lag. Cyn. Rd., Irvine",50,"Lasthenia gracilis","Flowering","F"
"90","io126653","Lasthenia gracilis","Ron Vanderhoff",NA,2024-04-28,"Orange","high",33.654663,-117.451392,"+/- 150m N of NE terminus of Blue Jay Campground, Santa Ana Mts.",50,"Lasthenia gracilis","Flowering","F"
"91","io127461","Lasthenia gracilis","Ron Vanderhoff",NA,2024-05-05,"Riverside","high",33.625337,-117.303658,"Elsinore vernal pools, 500m NNW junction Corydon Rd. and Palomar St., Elsinore 	io127430	Marsilea vestita Hairy waterclover IRVC1648	 +3  Ron Vanderhoff	2024-05-05	Riverside	Elsinore vernal pools, 500m NNW junction Corydon Rd. and Palomar St., Elsinore 	i",50,"Lasthenia gracilis","Flowering","F"
"92","io128681","Lasthenia gracilis","Mel Letterman","Irvine Ranch Conservancy",2024-05-13,"Orange","high",33.769213,-117.750192,"Loma Ridge (OC)",50,"Lasthenia gracilis","Flowering","F"
"93","io149647","Lasthenia gracilis","Cynthia Powell",NA,2025-03-22,"Contra Costa","high",37.8369,-121.68719,NA,78,"Lasthenia gracilis",NA,NA
"94","io151686","Lasthenia gracilis","Mike Russler",NA,2025-04-16,"Monterey","high",35.902363,-120.962988,NA,50,"Lasthenia gracilis",NA,NA
"95","io26714","Lasthenia gracilis","Angelique Herman",NA,2020-04-04,"San Luis Obispo","high",35.10745,-120.5549,NA,201,"Lasthenia gracilis",NA,NA
"96","io27299","Lasthenia gracilis","Liz Block",NA,2020-04-15,"Kern","high",35.02741,-118.17749,NA,113,"Lasthenia gracilis",NA,NA
"97","io61187","Lasthenia gracilis","Mike Russler",NA,2022-02-18,"San Benito","high",36.593093,-120.755266,"Jackass Grade Panoche Road",50,"Lasthenia gracilis",NA,NA
"98","io61188","Lasthenia gracilis","Mike Russler",NA,2022-02-18,"San Benito","high",36.592451,-120.754849,"Jackass Grade Panoche Road",50,"Lasthenia gracilis",NA,NA
"99","io61763","Lasthenia gracilis","Mike Russler",NA,2022-02-28,"Fresno","high",36.158761,-120.250129,"Present throughout Ecological Reserve Phelps Street Access",50,"Lasthenia gracilis",NA,NA
"100","io61764","Lasthenia gracilis","Mike Russler",NA,2022-02-28,"Fresno","high",36.16054,-120.247047,"Present throughout Ecological Reserve Phelps Street Access",50,"Lasthenia gracilis",NA,NA
"101","io61765","Lasthenia gracilis","Mike Russler",NA,2022-02-28,"Fresno","high",36.160567,-120.246633,"Present throughout Ecological Reserve Phelps Street Access",50,"Lasthenia gracilis",NA,NA
"102","io61766","Lasthenia gracilis","Mike Russler",NA,2022-02-28,"Fresno","high",36.16026,-120.244908,"Present throughout Ecological Reserve Phelps Street Access",50,"Lasthenia gracilis",NA,NA
"103","io61767","Lasthenia gracilis","Mike Russler",NA,2022-02-28,"Fresno","high",36.161086,-120.246903,"Present throughout Ecological Reserve Phelps Street Access",50,"Lasthenia gracilis",NA,NA
"104","io62286","Lasthenia gracilis","Cynthia Powell",NA,2022-03-14,"Contra Costa","high",37.86142,-121.70286,NA,78,"Lasthenia gracilis",NA,NA
"105","io62456","Lasthenia gracilis","Ron Vanderhoff",NA,2022-03-17,"Riverside","high",33.59852,-117.344422,"300-500 m S Elsinore Peak, Santa Ana Mts.",50,"Lasthenia gracilis","Flowering","F"
"106","io62462","Lasthenia gracilis","Ron Vanderhoff",NA,2022-03-17,"Riverside","high",33.597908,-117.344182,"300-500 m S Elsinore Peak, Santa Ana Mts.",50,"Lasthenia gracilis","Flowering","F"
