"ID","Taxon","Observer","Source","Date","County","Location Quality","Latitude","Longitude","Location Description","Accuracy: Square Meters","Plant","Phenology","Phenology Code"
"gp9712","Layia pentachaeta ssp. albida","Richard Spjut","","2011-03-18","Kern","low","35.400627","-119.412471","San Joaquin Valley: Just west of Bowerbank and Interstate 5, Old Taft Avenue north off Hwy 58","","Layia pentachaeta ssp. albida","",""
"in:107638104","Layia pentachaeta ssp. albida","plantsarecool","iNaturalist","2021-03-28","Fresno","high","36.732274","-120.351708","","3848","Layia pentachaeta ssp. albida","",""
"in:268021306","Layia pentachaeta ssp. albida","sapienshane","iNaturalist","2025-03-31","Kern","high","35.515629","-119.501568","Wasco","","Layia pentachaeta ssp. albida","",""
"in:268174087","Layia pentachaeta ssp. albida","sapienshane","iNaturalist","2025-04-01","Kern","high","35.546486","-119.494487","Wasco","","Layia pentachaeta ssp. albida","",""
"io119351","Layia pentachaeta ssp. albida","Mike Russler","","2023-03-28","Kern","high","35.731615","-119.734063","","","Layia pentachaeta ssp. albida","",""
"io119352","Layia pentachaeta ssp. albida","Mike Russler","","2023-03-28","Kern","high","35.731512","-119.733833","","50","Layia pentachaeta ssp. albida","",""
"io119353","Layia pentachaeta ssp. albida","Mike Russler","","2023-03-28","Kern","high","35.731742","-119.733703","","50","Layia pentachaeta ssp. albida","",""
"io121330","Layia pentachaeta ssp. albida","Mike Russler","","2024-03-07","Fresno","high","36.732528","-120.350853","","50","Layia pentachaeta ssp. albida","",""
"io121331","Layia pentachaeta ssp. albida","Mike Russler","","2024-03-07","Fresno","high","36.732412","-120.35077","","50","Layia pentachaeta ssp. albida","",""
"mg129508","Layia pentachaeta ssp. albida","Jacob Smith","","2021-03-28","Fresno","medium","36.732397","-120.351693","Plants on north side of Hwy180 to east of Panoche Road turnoff and west of White's Bridge over the Fresno Slough, southwest of Mendota in vertic soils in SnJV grassland, Fresno County, California, USA","73565","Layia pentachaeta ssp. albida","Flowering","F"
"mg197293","Layia pentachaeta ssp. albida","Ryan O'Dell","","2023-03-25","Kern","high","35.619721","-119.657466","","204","Layia pentachaeta ssp. albida","",""
"mg197301","Layia pentachaeta ssp. albida","Ryan O'Dell","","2023-03-25","Kern","high","35.616974","-119.683127","","770","Layia pentachaeta ssp. albida","",""
"mg197303","Layia pentachaeta ssp. albida","Ryan O'Dell","","2023-03-25","Kern","high","35.617229","-119.682603","","206","Layia pentachaeta ssp. albida","",""
"mg197304","Layia pentachaeta ssp. albida","Ryan O'Dell","","2023-03-25","Kern","high","35.61758","-119.683204","","393","Layia pentachaeta ssp. albida","",""
"mg197334","Layia pentachaeta ssp. albida","Ryan O'Dell","","2023-03-25","Kern","high","35.639648","-119.57856","","45","Layia pentachaeta ssp. albida","",""
"mg197337","Layia pentachaeta ssp. albida","Ryan O'Dell","","2023-03-25","Kern","high","35.637921","-119.579348","","47","Layia pentachaeta ssp. albida","",""
"mg198014","Layia pentachaeta ssp. albida","Ryan O'Dell","","2023-03-29","Kern","high","35.731737","-119.731361","","9518","Layia pentachaeta ssp. albida","",""
"mg200251","Layia pentachaeta ssp. albida","Ryan O'Dell","","2023-04-12","Kings","high","35.903819","-120.213543","","592","Layia pentachaeta ssp. albida","",""
"mg200263","Layia pentachaeta ssp. albida","Ryan O'Dell","","2023-04-12","Kings","high","35.905223","-120.216234","","153","Layia pentachaeta ssp. albida","",""
"mg200265","Layia pentachaeta ssp. albida","Ryan O'Dell","","2023-04-12","Kings","high","35.905231","-120.216228","","275","Layia pentachaeta ssp. albida","",""
"po155531","Layia pentachaeta ssp. albida","Ryan O'Dell","","2020-04-20","Kern","high","35.617901","-119.657076","","","Layia pentachaeta ssp. albida","",""
"po155532","Layia pentachaeta ssp. albida","Ryan O'Dell","","2020-04-20","Kern","high","35.618259","-119.657113","","","Layia pentachaeta ssp. albida","",""
"po155533","Layia pentachaeta ssp. albida","Ryan O'Dell","","2020-04-20","Kern","high","35.618231","-119.656761","","","Layia pentachaeta ssp. albida","",""
"po155534","Layia pentachaeta ssp. albida","Ryan O'Dell","","2020-04-20","Kern","high","35.617963","-119.656348","","","Layia pentachaeta ssp. albida","",""
