"","id","taxon","observer","source","date","county","location_quality","latitude","longitude","location_description","accuracy_square_meters","plant","phenology","phenology_code"
"1","in:107638104","Layia pentachaeta ssp. albida","plantsarecool","iNaturalist",2021-03-28,"Fresno","high",36.732274,-120.351708,NA,3848,"Layia pentachaeta ssp. albida",NA,NA
"2","io119352","Layia pentachaeta ssp. albida","Mike Russler",NA,2023-03-28,"Kern","high",35.731512,-119.733833,NA,50,"Layia pentachaeta ssp. albida",NA,NA
"3","io119353","Layia pentachaeta ssp. albida","Mike Russler",NA,2023-03-28,"Kern","high",35.731742,-119.733703,NA,50,"Layia pentachaeta ssp. albida",NA,NA
"4","io121330","Layia pentachaeta ssp. albida","Mike Russler",NA,2024-03-07,"Fresno","high",36.732528,-120.350853,NA,50,"Layia pentachaeta ssp. albida",NA,NA
"5","io121331","Layia pentachaeta ssp. albida","Mike Russler",NA,2024-03-07,"Fresno","high",36.732412,-120.35077,NA,50,"Layia pentachaeta ssp. albida",NA,NA
"6","mg197293","Layia pentachaeta ssp. albida","Ryan O'Dell",NA,2023-03-25,"Kern","high",35.619721,-119.657466,NA,204,"Layia pentachaeta ssp. albida",NA,NA
"7","mg197301","Layia pentachaeta ssp. albida","Ryan O'Dell",NA,2023-03-25,"Kern","high",35.616974,-119.683127,NA,770,"Layia pentachaeta ssp. albida",NA,NA
"8","mg197303","Layia pentachaeta ssp. albida","Ryan O'Dell",NA,2023-03-25,"Kern","high",35.617229,-119.682603,NA,206,"Layia pentachaeta ssp. albida",NA,NA
"9","mg197304","Layia pentachaeta ssp. albida","Ryan O'Dell",NA,2023-03-25,"Kern","high",35.61758,-119.683204,NA,393,"Layia pentachaeta ssp. albida",NA,NA
"10","mg197334","Layia pentachaeta ssp. albida","Ryan O'Dell",NA,2023-03-25,"Kern","high",35.639648,-119.57856,NA,45,"Layia pentachaeta ssp. albida",NA,NA
"11","mg197337","Layia pentachaeta ssp. albida","Ryan O'Dell",NA,2023-03-25,"Kern","high",35.637921,-119.579348,NA,47,"Layia pentachaeta ssp. albida",NA,NA
"12","mg198014","Layia pentachaeta ssp. albida","Ryan O'Dell",NA,2023-03-29,"Kern","high",35.731737,-119.731361,NA,9518,"Layia pentachaeta ssp. albida",NA,NA
"13","mg200251","Layia pentachaeta ssp. albida","Ryan O'Dell",NA,2023-04-12,"Kings","high",35.903819,-120.213543,NA,592,"Layia pentachaeta ssp. albida",NA,NA
"14","mg200263","Layia pentachaeta ssp. albida","Ryan O'Dell",NA,2023-04-12,"Kings","high",35.905223,-120.216234,NA,153,"Layia pentachaeta ssp. albida",NA,NA
"15","mg200265","Layia pentachaeta ssp. albida","Ryan O'Dell",NA,2023-04-12,"Kings","high",35.905231,-120.216228,NA,275,"Layia pentachaeta ssp. albida",NA,NA
"16","wb1194-1882","Layia pentachaeta ssp. albida","Brian and Eileen Keelan",NA,2010-04-03,"Kern","high",35.63737,-119.57836,"Paine Wildflower Preserve -- E of Corcoran Rd, Semitropic",1200,"Layia pentachaeta ssp. albida",NA,NA
