"ID","Taxon","Observer","Source","Date","County","Location Quality","Latitude","Longitude","Location Description","Accuracy: Square Meters","Plant","Phenology","Phenology Code"
"in:187749636","Cleomella arborea var. globosa","poa","iNaturalist","2023-10-15","Los Angeles","low","34.770617","-118.721231","","1031475","Cleomella arborea var. globosa","",""
"in:216978518","Cleomella arborea var. globosa","ronvanderhoff","iNaturalist","2024-05-19","San Diego","high","33.003333","-117.275555","San Elijo Lagoon Ecological Reserve, Solana Beach, CA","","Cleomella arborea var. globosa","",""
"in:277265652","Cleomella arborea var. globosa","jordanii","iNaturalist","2025-04-30","San Luis Obispo","medium","35.266895","-119.844995","Carrizo Plain National Monument, Santa Margarita, CA","96211","Cleomella arborea var. globosa","",""
"in:65848218","Cleomella arborea var. globosa","ronvanderhoff","iNaturalist","2020-11-29","Orange","high","33.474497","-117.677147","San Juan Capistrano, CA","","Cleomella arborea var. globosa","",""
"io154284","Cleomella arborea var. globosa","Danya Orozco","Porterville College Biology P136","2025-04-02","Tulare","high","36.058908","-119.035606","On a dirt area that is close to a sidewalk/path and the road of W Parkway Dr. which is also close to the Tule River.","12","Cleomella arborea var. globosa","",""
"mg234404","Cleomella arborea var. globosa","Ryan O'Dell","","2024-03-14","Fresno","high","36.078281","-120.141534"," ","50","Cleomella arborea var. globosa","",""
"mg235079","Cleomella arborea var. globosa","Ryan O'Dell","","2024-03-15","Fresno","high","36.076657","-120.140053","","147","Cleomella arborea var. globosa","",""
"mu9661","Isomeris arborea var. globosa","Ron Vanderhoff","","2020-11-29","Orange","high","33.4745","-117.6771","100m E San Juan Creek at Stonehill Drive, Dana Point","100","Isomeris arborea var. globosa","Flowering","F"
"cns22111","Isomeris arborea var. globosa","staff, CNPS","DFW Vegetation Classification and Mapping Program","2016-04-02","Kern","high","35.199438","-118.727211","Bear Valley Springs","","Isomeris arborea var. globosa","",""
"cns23071","Isomeris arborea var. globosa","staff, CNPS","DFW Vegetation Classification and Mapping Program","2016-04-02","Kern","high","35.192658","-118.73066","Bear Valley Springs","","Isomeris arborea var. globosa","",""
"gp13463","Peritoma arborea var. globosa","Matt Berger","","2019-03-24","Fresno","high","36.7817","-120.81106","Growing on grass area along Little Panoche Rd. 500 meters southwest of Salt Canyon.","","Peritoma arborea var. globosa","",""
