"","id","taxon","observer","source","date","county","location_quality","latitude","longitude","location_description","accuracy_square_meters","plant","phenology","phenology_code"
"1","io154284","Cleomella arborea var. globosa","Danya Orozco","Porterville College Biology P136",2025-04-02,"Tulare","high",36.058908,-119.035606,"On a dirt area that is close to a sidewalk/path and the road of W Parkway Dr. which is also close to the Tule River.",12,"Cleomella arborea var. globosa",NA,NA
"2","mg234404","Cleomella arborea var. globosa","Ryan O'Dell",NA,2024-03-14,"Fresno","high",36.078281,-120.141534,NA,50,"Cleomella arborea var. globosa",NA,NA
"3","mg235079","Cleomella arborea var. globosa","Ryan O'Dell",NA,2024-03-15,"Fresno","high",36.076657,-120.140053,NA,147,"Cleomella arborea var. globosa",NA,NA
"4","mu9661","Isomeris arborea var. globosa","Ron Vanderhoff",NA,2020-11-29,"Orange","high",33.4745,-117.6771,"100m E San Juan Creek at Stonehill Drive, Dana Point",100,"Isomeris arborea var. globosa","Flowering","F"
"5","in:117683757","Peritoma arborea var. globosa","jordanii","iNaturalist",2022-05-18,"Los Angeles","high",34.722725,-118.754447,"Angeles National Forest, Lake Hughes, CA",254,"Peritoma arborea var. globosa",NA,NA
"6","io129179","Peritoma arborea var. globosa","Ron Vanderhoff",NA,2024-05-19,"San Diego","high",33.003333,-117.275555,"Rios Trail, 60m S of bridge tunnel trail start, San Elijo Lagoon, Solana Beach",50,"Peritoma arborea var. globosa","Fruiting","R"
"7","io41432","Peritoma arborea var. globosa","Mike Russler",NA,2020-04-29,"Kern","high",35.26958,-118.682297,NA,530,"Peritoma arborea var. globosa",NA,NA
"8","io60386","Peritoma arborea var. globosa","Mike Russler",NA,2022-02-04,"Fresno","high",36.623695,-120.660163,"Panoche Road",50,"Peritoma arborea var. globosa",NA,NA
"9","io60387","Peritoma arborea var. globosa","Mike Russler",NA,2022-02-04,"Fresno","high",36.62312,-120.656813,"Panoche Road",28,"Peritoma arborea var. globosa",NA,NA
"10","mg198025","Peritoma arborea var. globosa","Ryan O'Dell",NA,2023-03-29,"Kern","high",35.545454,-118.958794,NA,245,"Peritoma arborea var. globosa",NA,NA
"11","mg198041","Peritoma arborea var. globosa","Ryan O'Dell",NA,2023-03-30,"Kern","high",35.364073,-117.975829,NA,121,"Peritoma arborea var. globosa",NA,NA
"12","mg200984","Peritoma arborea var. globosa","R.A. Chasey",NA,2023-04-23,"Fresno","high",36.708258,-120.810246,NA,407,"Peritoma arborea var. globosa",NA,NA
"13","mu22974","Peritoma arborea var. globosa","John L. Thompson",NA,2022-04-24,"Los Angeles","high",34.7617,-118.7269,"On a slope above the Old Ridge Road, about 0.4 mile from Lancaster Road. 33814 Ridge Rte Rd, Lancaster, CA 93536, USA",7854,"Peritoma arborea var. globosa",NA,NA
"14","mu3318","Peritoma arborea var. globosa","John L. Thompson",NA,2020-05-16,"Los Angeles","high",34.3265,-118.1216,"South end of large pullout on west side of Upper Big Tujunga Canyon Road, 0.2 mile south of intersection with Angeles Forest Highway. One shrub was just barely into the vegetation on the southwest edge of the pullout; the other was perhaps 100 feet furth",7854,"Peritoma arborea var. globosa",NA,NA
"15","wb1194-2564","Peritoma arborea var. globosa","Brian and Eileen Keelan",NA,2008-04-06,"Los Angeles","high",34.77701,-118.78778,"0.9 mi W of Quail Lake -- Gorman Post Rd",1200,"Peritoma arborea var. globosa",NA,NA
"16","wb1194-2565","Peritoma arborea var. globosa","Brian and Eileen Keelan",NA,2009-01-31,"Fresno","high",36.71015,-120.81519,"BLM Panoche Access Rd, Mi 3.7 -- Panoche Hills",1200,"Peritoma arborea var. globosa",NA,NA
