"ID","Taxon","Observer","Source","Date","County","Location Quality","Latitude","Longitude","Location Description","Accuracy: Square Meters","Plant","Phenology","Phenology Code"
"ebc:15308","Phacelia ciliata","Dianne Lake, Barbara Ertter, et al.","EB CNPS Rare and Unusual Plants","2004-04-10","Alameda","high","37.489","-121.969067","WrmSpg: Warm Springs (Don Edwards Sf Bay National Wildlife Refuge)","","Phacelia ciliata","",""
"gp10240","Phacelia ciliata","Richard Spjut","","2010-03-05","San Luis Obispo","low","35.236057","-119.759363","San Joaquin Valley: Elkhorn Valley","3141600","Phacelia ciliata","",""
"gp13565","Phacelia ciliata","Richard Spjut","","2019-03-25","San Luis Obispo","high","35.03296","-119.48579","San Joaquin Valley: Carrizo Plain, track east off Elkhorn Plain Road (Simmler Soda Lake Rd)","3","Phacelia ciliata","",""
"in:107638102","Phacelia ciliata","plantsarecool","iNaturalist","2021-03-28","Fresno","high","36.732552","-120.351547","","11689","Phacelia ciliata","",""
"in:108354696","Phacelia ciliata","silversea_starsong","iNaturalist","2022-03-09","Orange","high","33.495815","-117.639095","San Juan Capistrano, CA","530","Phacelia ciliata","",""
"in:108455382","Phacelia ciliata","silversea_starsong","iNaturalist","2022-03-09","Orange","high","33.494732","-117.639112","San Juan Capistrano, CA","201","Phacelia ciliata","",""
"in:108522282","Phacelia ciliata","ronvanderhoff","iNaturalist","2022-03-12","Orange","high","33.641074","-117.843625","Irvine, CA","50","Phacelia ciliata","",""
"in:149181538","Phacelia ciliata","ronvanderhoff","iNaturalist","2023-02-19","Orange","high","33.6908","-117.644253","Whiting Ranch Wilderness Park, Lake Forest, CA","","Phacelia ciliata","",""
"in:150255314","Phacelia ciliata","annienzelll","iNaturalist","2023-03-03","Monterey","high","36.200305","-120.795547","CA-198, King City, CA","50","Phacelia ciliata","",""
"in:154030851","Phacelia ciliata","rogerstephens","iNaturalist","2023-04-08","San Luis Obispo","high","35.181347","-119.843812","Carrizo Plain National Monument, Santa Margarita, CA","78","Phacelia ciliata","",""
"in:155246979","Phacelia ciliata","thesunisbig","iNaturalist","2023-04-15","San Luis Obispo","high","35.182172","-119.844605","Carrizo Plain National Monument, Santa Margarita, CA","78","Phacelia ciliata","",""
