"","id","taxon","observer","source","date","county","location_quality","latitude","longitude","location_description","accuracy_square_meters","plant","phenology","phenology_code"
"1","gp13565","Phacelia ciliata","Richard Spjut",NA,2019-03-25,"San Luis Obispo","high",35.03296,-119.48579,"San Joaquin Valley: Carrizo Plain, track east off Elkhorn Plain Road (Simmler Soda Lake Rd)",3,"Phacelia ciliata",NA,NA
"2","in:107638102","Phacelia ciliata","plantsarecool","iNaturalist",2021-03-28,"Fresno","high",36.732552,-120.351547,NA,11689,"Phacelia ciliata",NA,NA
"3","in:108354696","Phacelia ciliata","silversea_starsong","iNaturalist",2022-03-09,"Orange","high",33.495815,-117.639095,"San Juan Capistrano, CA",530,"Phacelia ciliata",NA,NA
"4","in:108455382","Phacelia ciliata","silversea_starsong","iNaturalist",2022-03-09,"Orange","high",33.494732,-117.639112,"San Juan Capistrano, CA",201,"Phacelia ciliata",NA,NA
"5","in:108522282","Phacelia ciliata","ronvanderhoff","iNaturalist",2022-03-12,"Orange","high",33.641074,-117.843625,"Irvine, CA",50,"Phacelia ciliata",NA,NA
"6","in:150255314","Phacelia ciliata","annienzelll","iNaturalist",2023-03-03,"Monterey","high",36.200305,-120.795547,"CA-198, King City, CA",50,"Phacelia ciliata",NA,NA
"7","in:154030851","Phacelia ciliata","rogerstephens","iNaturalist",2023-04-08,"San Luis Obispo","high",35.181347,-119.843812,"Carrizo Plain National Monument, Santa Margarita, CA",78,"Phacelia ciliata",NA,NA
"8","in:155246979","Phacelia ciliata","thesunisbig","iNaturalist",2023-04-15,"San Luis Obispo","high",35.182172,-119.844605,"Carrizo Plain National Monument, Santa Margarita, CA",78,"Phacelia ciliata",NA,NA
"9","in:156095270","Phacelia ciliata","sporadicgrowth","iNaturalist",2023-04-22,"San Luis Obispo","high",35.225153,-119.947025,"SANTA MARGAR",201,"Phacelia ciliata",NA,NA
"10","in:201698267","Phacelia ciliata","Eric Cleveland","iNaturalist",2024-02-28,"Los Angeles","high",34.174272,-118.003266,"Monrovia, CA, USA",706,"Phacelia ciliata",NA,NA
"11","in:202900466","Phacelia ciliata","jordanii","iNaturalist",2024-03-16,"San Luis Obispo","high",35.092033,-119.73002,"Carrizo Plain National Monument, Santa Margarita, CA",113,"Phacelia ciliata",NA,NA
"12","in:207695575","Phacelia ciliata","Gabriel Sumayan Garcia (they/them)","iNaturalist",2024-04-02,"San Luis Obispo","high",35.411433,-120.09433,"Bitterwater Valley Rd, Santa Margarita, CA, US",50,"Phacelia ciliata",NA,NA
"13","in:20898890","Phacelia ciliata","Amelia Ryan","iNaturalist",2019-03-02,"San Benito","high",36.676138,-120.865158,"San Benito County, US-CA, US",78,"Phacelia ciliata",NA,NA
"14","in:21374523","Phacelia ciliata","paulexcoff","iNaturalist",2019-03-15,"San Luis Obispo","high",35.14613,-119.773378,"Carrizo Plain National Monument, Santa Margarita, CA, US",78,"Phacelia ciliata",NA,NA
"15","in:214135399","Phacelia ciliata","Bryce Silver-Bates","iNaturalist",2024-05-06,"Ventura","high",34.871385,-119.31039,"Los Padres National Forest, Maricopa, CA, US",3,"Phacelia ciliata",NA,NA
"16","in:21866525","Phacelia ciliata","david99","iNaturalist",2019-03-31,"Riverside","high",33.888508,-117.098258,"92555, Moreno Valley, CA",113,"Phacelia ciliata",NA,NA
"17","in:22173669","Phacelia ciliata","michelle_","iNaturalist",2019-04-06,"San Luis Obispo","high",34.990472,-119.483025,"Carrizo Plain National Monument, Santa Margarita, CA, US",78,"Phacelia ciliata",NA,NA
"18","in:22304499","Phacelia ciliata","dkincmbria","iNaturalist",2019-04-06,"San Luis Obispo","high",35.308164,-119.943542,NA,78,"Phacelia ciliata",NA,NA
"19","in:233180654","Phacelia ciliata","gerbmantz","iNaturalist",2023-04-28,"San Luis Obispo","high",35.099639,-119.829742,NA,153,"Phacelia ciliata",NA,NA
"20","in:24233090","Phacelia ciliata","carolmaxwell60","iNaturalist",2019-04-13,"San Luis Obispo","high",35.206547,-119.85482,"Carrizo Plain National Monument, Santa Margarita, CA, US",314,"Phacelia ciliata",NA,NA
"21","in:258608127","Phacelia ciliata","schimnowskiz","iNaturalist",2025-01-14,"Kern","high",35.435738,-119.573353,"Buttonwillow, CA, US",78,"Phacelia ciliata",NA,NA
"22","in:261685794","Phacelia ciliata","schimnowskiz","iNaturalist",2025-02-10,"Tulare","high",35.931024,-119.404148,"Pixley, CA, US",113,"Phacelia ciliata",NA,NA
"23","in:262783111","Phacelia ciliata","Nancy Bruce","iNaturalist",2025-02-20,"Tulare","high",35.951183,-119.053536,"CA-65, Terra Bella, CA, US",50,"Phacelia ciliata",NA,NA
"24","in:263241609","Phacelia ciliata","Nancy Bruce","iNaturalist",2025-02-25,"Tulare","high",36.484028,-119.239258,"Visalia, CA, US",50,"Phacelia ciliata",NA,NA
"25","in:263324749","Phacelia ciliata","vonterschj","iNaturalist",2025-02-27,"Kern","high",35.452597,-119.510995,"Buttonwillow, CA, US",2642,"Phacelia ciliata",NA,NA
"26","in:263330918","Phacelia ciliata","vonterschj","iNaturalist",2025-02-27,"Tulare","high",36.089567,-119.493722,"Tipton, CA, US",28,"Phacelia ciliata",NA,NA
"27","in:267797822","Phacelia ciliata","ronvanderhoff","iNaturalist",2025-03-30,"Los Angeles","high",34.777138,-118.672172,"Lancaster, CA",50,"Phacelia ciliata",NA,NA
"28","in:274959278","Phacelia ciliata","Kyle Elshoff","iNaturalist",2025-04-19,"Kern","high",34.923613,-119.412437,"Hudson Ranch Rd, Maricopa, CA, US",28,"Phacelia ciliata",NA,NA
"29","in:39071450","Phacelia ciliata","Ken-ichi Ueda","iNaturalist",2020-02-22,"Contra Costa","high",37.977402,-121.853449,"Antioch, CA 94509, USA",78,"Phacelia ciliata",NA,NA
"30","in:39288955","Phacelia ciliata","skarams","iNaturalist",2020-02-27,"Orange","high",33.656644,-117.808771,"Turtle Rock, Irvine, CA",28,"Phacelia ciliata",NA,NA
"31","in:39390178","Phacelia ciliata","Lauren Glevanik","iNaturalist",2020-02-29,"Yolo","high",38.524307,-121.788323,"Yolo County, CA, USA",706,"Phacelia ciliata",NA,NA
"32","in:5380855","Phacelia ciliata","craether","iNaturalist",2017-03-14,"Orange","high",33.696548,-117.689774,"Portola Springs, Irvine, CA",3019,"Phacelia ciliata",NA,NA
"33","in:72050933","Phacelia ciliata","recrowe","iNaturalist",2021-03-25,"Orange","high",33.641078,-117.843505,"UCI Ecological Preserve",50,"Phacelia ciliata",NA,NA
"34","in:72588032","Phacelia ciliata","ekoberle","iNaturalist",2021-03-30,"Orange","high",33.641083,-117.843322,"University of California, Irvine, Irvine, CA",78,"Phacelia ciliata",NA,NA
"35","in:73340704","Phacelia ciliata","spifferella /<br> Becky Escalante","iNaturalist",2021-04-08,"San Diego","high",32.715103,-116.706108,"Cleveland National Forest, Jamul, CA",78,"Phacelia ciliata",NA,NA
"36","in:74016213","Phacelia ciliata","Becky Escalante","iNaturalist",2021-04-14,"San Diego","high",32.715905,-116.707213,"Cleveland National Forest, Jamul, CA, US",78,"Phacelia ciliata",NA,NA
"37","in:74234527","Phacelia ciliata","spifferella /<br> Becky Escalante","iNaturalist",2021-04-15,"San Diego","high",32.715689,-116.708386,"Cleveland National Forest, Jamul, CA",1809,"Phacelia ciliata",NA,NA
"38","io11170","Phacelia ciliata","Liz Block",NA,2019-04-23,"Kern","high",35.142317,-118.447184,NA,113,"Phacelia ciliata",NA,NA
"39","io60926","Phacelia ciliata","Catherine Chang","East Bay Chapter CNPS Unusual Plants",2022-02-20,"Contra Costa","high",37.972963,-121.837088,NA,50,"Phacelia ciliata",NA,NA
"40","io61712","Phacelia ciliata","Mike Russler",NA,2022-02-28,"Fresno","high",36.039679,-120.181952,"Hwy 33 south of S. Sutter Ave.",50,"Phacelia ciliata",NA,NA
"41","io61713","Phacelia ciliata","Mike Russler",NA,2022-02-28,"Fresno","high",36.040198,-120.181962,"Hwy 33 south of S. Sutter Ave.",50,"Phacelia ciliata",NA,NA
