id,lat,lon,date,year,month,source
5932807370,35.217562,-119.85537,2023-04-07,2023,4,gbif
5932760444,35.317353,-119.998917,2023-04-08,2023,4,gbif
5932311121,35.165875,-119.842163,2023-02-16,2023,2,gbif
5932281017,35.038025,-119.608672,2023-04-25,2023,4,gbif
5932215104,35.305653,-119.98478,2023-04-08,2023,4,gbif
5920158149,34.731196,-119.394238,2023-04-16,2023,4,gbif
5889354072,34.990642,-119.482575,2023-04-06,2023,4,gbif
5886609367,35.088711000000004,-119.814155,2022-04-18,2022,4,gbif
5868015227,34.734078,-119.393075,2022-03-01,2022,3,gbif
5830936751,35.032894,-119.489135,2023-04-15,2023,4,gbif
5760016800,34.9342,-119.400518,2022-04-11,2022,4,gbif
5168156377,33.641369,-117.844311,2023-04-20,2023,4,gbif
5139253399,35.320932,-118.733092,2015-02-14,2015,2,gbif
5108227465,35.060275,-119.684862,2023-04-22,2023,4,gbif
5108028714,35.182094,-119.844606,2023-03-27,2023,3,gbif
5101142493,35.320249,-118.721264,2016-02-20,2016,2,gbif
5101036335,33.495689,-117.63935,2022-03-09,2022,3,gbif
5101036334,33.494922,-117.639181,2022-03-09,2022,3,gbif
5076753344,35.308164,-119.943542,2019-04-06,2019,4,gbif
5062685475,35.0319,-119.4868,2023-04-22,2023,4,gbif
5062645324,36.138297,-119.916992,2023-03-18,2023,3,gbif
5062643304,38.195438,-122.267297,2023-02-22,2023,2,gbif
5062635383,36.062842,-120.796188,2023-03-28,2023,3,gbif
5062625404,36.729222,-121.3017,2023-03-12,2023,3,gbif
5062611378,36.26807,-120.939445,2023-04-01,2023,4,gbif
5062601345,37.974506,-121.834617,2023-03-13,2023,3,gbif
5062596590,35.308042,-119.95803,2023-05-20,2023,5,gbif
5062594418,36.043653,-120.113105,2023-04-01,2023,4,gbif
5062589577,35.226179,-119.854015,2023-04-28,2023,4,gbif
5062581550,35.757707,-119.656006,2022-04-06,2022,4,gbif
5062581295,37.956253,-121.874817,2023-03-17,2023,3,gbif
5062551513,37.950601,-121.843738,2021-12-30,2021,12,gbif
5062551252,36.098778,-120.693777,2023-02-18,2023,2,gbif
5062540566,37.979686,-121.857587,2022-02-04,2022,2,gbif
5062521207,37.971954,-121.854805,2023-02-19,2023,2,gbif
5062507434,37.971782,-121.861398,2019-03-31,2019,3,gbif
5062497311,35.366282,-120.06475,2015-03-13,2015,3,gbif
5062488636,37.977653,-121.853562,2020-02-22,2020,2,gbif
5062451329,37.261662,-121.836694,2017-03-14,2017,3,gbif
5037074762,34.260935,-118.619202,2018-03-29,2018,3,gbif
5008196711,37.974346,-121.829512,2023-03-31,2023,3,gbif
5008196347,37.972375,-121.870138,2022-02-26,2022,2,gbif
5008180264,37.972358,-121.865503,2022-02-11,2022,2,gbif
5007957367,37.972828,-121.836625,2023-03-13,2023,3,gbif
5007871906,37.971703,-121.821947,2023-03-18,2023,3,gbif
5007732843,37.97657,-121.828678,2023-03-13,2023,3,gbif
5007260174,37.968117,-121.853455,2023-03-26,2023,3,gbif
5006932246,37.970445,-121.83265,2023-03-25,2023,3,gbif
5006855384,37.97789,-121.821211,2023-03-13,2023,3,gbif
4994285671,34.942175,-119.405204,2018-04-15,2018,4,gbif
4993880950,35.269173,-119.93886,2010-04-09,2010,4,gbif
4987849917,35.331988,-119.363462,2017-04-11,2017,4,gbif
4987723808,35.095443,-119.640281,2019-03-23,2019,3,gbif
4987675601,35.118106,-118.414283,2022-04-04,2022,4,gbif
4982278849,35.33229,-119.363471,2019-02-26,2019,2,gbif
4981942551,35.136181,-118.498872,2020-04-22,2020,4,gbif
4980352997,34.981895,-118.976862,2019-03-18,2019,3,gbif
4977930608,36.6726,-120.8659,2023-03-23,2023,3,gbif
4976546139,35.524311,-120.086569,2019-03-22,2019,3,gbif
4974325953,35.29983,-119.880403,2019-03-24,2019,3,gbif
4974259248,35.307952,-119.98787,2019-03-21,2019,3,gbif
